GNN,STR,NDC
MOMETASONE FUROATE,0.1 %,51672130503
LOSARTAN/HYDROCHLOROTHIAZIDE,50-12.5 MG,13668011610
GLYBURIDE/METFORMIN HCL,2.5-500 MG,55111069610
MIDODRINE HCL,2.5 MG,00245021111
CARVEDILOL,6.25 MG,43547025550
LACTULOSE,20 G,66220072930
FERROUS SULFATE,325(65) MG,00245010811
METFORMIN HCL,1000 MG,20091053501
"SYRING W-NDL,DISP,INSUL,0.5ML","31GX5/16""",81131031177
BETA-CAROTENE(A) W-C & E/MIN,,00065804010
BETAMETHASONE DIPROPIONATE,0.05 %,51672130903
ALISKIREN HEMIFUMARATE,150 MG,00078048515
FLUOCINOLONE/SHOWER CAP,0.01 %,28105014904
DIVALPROEX SODIUM,125 MG,68382010601
ETODOLAC,400 MG,00093089201
SERTRALINE HCL,50 MG,16714061201
EZETIMIBE/SIMVASTATIN,10MG-20MG,66582031254
CHLORTHALIDONE,25 MG,00378022210
GALANTAMINE HBR,24 MG,10147089303
ALBUTEROL SULFATE,2.5 MG/0.5,00487990130
FOSINOPRIL SODIUM,40 MG,68462036990
ATENOLOL,100 MG,68382002401
AMITRIPTYLINE HCL,10 MG,00603221221
BISAC/NACL/NAHCO3/KCL/PEG 3350,5 MG-210 G,52268052302
LEVOFLOXACIN,750 MG,68180024220
LISINOPRIL,5 MG,24658024110
WARFARIN SODIUM,5 MG,00832121601
ENALAPRIL MALEATE,2.5 MG,51079095020
TAPENTADOL HCL,75 MG,50458083004
VALSARTAN,160 MG,00078035906
AZITHROMYCIN,200 MG/5ML,00093202631
HYDROCODONE BIT/ACETAMINOPHEN,7.5-325MG,57664017013
METFORMIN HCL,500 MG,00781505061
HYDROXYZINE HCL,25 MG,23155010601
PILOCARPINE HCL,2 %,61314020415
TIMOLOL MALEATE,0.5 %,61314022715
ERGOCALCIFEROL (VITAMIN D2),50000 UNIT,50111099001
DIAZEPAM,10 MG,00172392760
LOVASTATIN,40 MG,45963063501
AMLODIPINE BESYLATE/BENAZEPRIL,5MG-40MG,68180075901
PIOGLITAZONE/GLIMEPIRIDE,30 MG-2 MG,64764030230
ESTRADIOL,.0375MG/24,00078034345
WARFARIN SODIUM,5 MG,51672403207
DILTIAZEM HCL,240 MG,60505001606
MEROPENEM,500 MG,00409350501
HYDROXYZINE HCL,10 MG/5 ML,10702005216
CHLORPROMAZINE HCL,200 MG,00832030400
PENICILLIN V POTASSIUM,500 MG,65862017601
ABACAVIR SULFATE,300 MG,49702022144
CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,10939052933
FLUOCINONIDE/EMOLLIENT,0.05 %,00093026392
BENAZEPRIL HCL,10 MG,00078044805
RAMIPRIL,5 MG,55111044090
RIBAVIRIN,200 MG,66435010118
TOPIRAMATE,50 MG,64376012001
METFORMIN HCL,1000 MG,59762432202
PRENATAL VIT 15/IRON CB/FA/DSS,90-1-50 MG,60258019409
ACETAMINOPHEN,500 MG,24385040578
WARFARIN SODIUM,10 MG,00555083502
HYDROCODONE BIT/ACETAMINOPHEN,10MG-500MG,00603388828
BISOPROLOL FUMARATE,10 MG,00185077401
FLUOXETINE HCL,10 MG,16714035103
LISINOPRIL/HYDROCHLOROTHIAZIDE,20-25MG,00172503270
HALOPERIDOL DECANOATE,100 MG/ML,63323047101
CARVEDILOL,12.5 MG,13107014401
TOPIRAMATE,100 MG,68382014005
DARBEPOETIN ALFA IN POLYSORBAT,60MCG/ML,55513000404
LISINOPRIL,10 MG,00603421128
DIVALPROEX SODIUM,125 MG,62756079688
LISINOPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,65862004401
TRAMADOL HCL/ACETAMINOPHEN,37.5-325MG,57664053788
DILTIAZEM HCL,90 MG,51079092520
KETOPROFEN,75 MG,00378575001
CARVEDILOL PHOSPHATE,20 MG,00007337159
PROMETHAZINE HCL,25 MG/ML,00641149531
BICALUTAMIDE,50 MG,16714057102
ROSIGLITAZONE/METFORMIN HCL,2 MG-500MG,00007316718
FLUTAMIDE,125 MG,00591222718
LAMOTRIGINE,25 MG,00378425101
PRENATAL VIT 15/IRON CB/FA/DSS,90-1-50 MG,13811052990
VENLAFAXINE HCL,150 MG,00093738698
LEVOFLOXACIN,500 MG,00093729253
DIGOXIN,250 MCG,00143124101
ESTRADIOL,.0375MG/24,00378336099
LIDOCAINE HCL,5 %,51672300803
DILTIAZEM HCL,120 MG,62037059705
BISOPROLOL FUMARATE,10 MG,00378052401
MELOXICAM,7.5 MG,61442012610
METHYLPHENIDATE HCL,10 MG,00078042405
PREDNISONE,10 MG,59746017310
PREDNISOLONE ACETATE,1 %,60758011905
TRIAMTERENE,50 MG,65197000201
ALPRAZOLAM,0.5 MG,59762372004
LISINOPRIL,2.5 MG,00172375760
HALOPERIDOL,10 MG,00378033401
LORAZEPAM,1 MG,00591024105
IMIQUIMOD,5 %,45802036862
NATEGLINIDE,60 MG,49884098401
WARFARIN SODIUM,1 MG,00378880110
LORAZEPAM,0.5 MG,00591024010
WARFARIN SODIUM,6 MG,00832121700
ZOLPIDEM TARTRATE,10 MG,64679071504
LAMOTRIGINE,200 MG,00378425405
LEVETIRACETAM,750 MG,50474059640
PNV80/IRON FUMARATE/FA/DSS/DHA,29-1.25-55,13811060030
SODIUM FLUORIDE,1.1 %,00126028733
HYDROXYCHLOROQUINE SULFATE,200 MG,00378037301
"SYRING W-NDL,DISP,INSUL,0.3ML","31GX5/16""",86227065035
LOSARTAN POTASSIUM,100 MG,00006096054
VALACYCLOVIR HCL,500 MG,00781520892
CALCIUM POLYCARBOPHIL,625 MG,00603018102
ENALAPRIL MALEATE,5 MG,00093002701
DIVALPROEX SODIUM,500 MG,00074621513
"GRISEOFULVIN,MICROSIZE",500 MG,00062021460
ALENDRONATE SODIUM,40 MG,00093514256
NAPROXEN,375 MG,00904559060
ACETAMINOPHEN,325 MG,00603026321
VANCOMYCIN HCL,1 G,00781318880
AMOXAPINE,25 MG,00591571301
POTASSIUM CHLORIDE,10 MEQ,58177000109
CHOLECALCIFEROL (VITAMIN D3),2000 UNIT,00536379001
HUM INSULIN NPH/REG INSULIN HM,70-30/ML,59060183702
CHLOROQUINE PHOSPHATE,500 MG,00143212522
DICLOFENAC SODIUM,75 MG,00781178960
AZITHROMYCIN,600 MG,59762308001
RIFAMPIN,300 MG,61748001801
OFLOXACIN,0.3 %,24208043410
CEFTRIAXONE SODIUM,500 MG,10019068602
"GENTAMICIN IN NACL, ISO-OSM",80 MG/50ML,00264581638
"SYRINGE & NEEDLE,INSULIN,1 ML","29GX1/2""",81131031162
ALENDRONATE SODIUM,70 MG,68084032294
PITAVASTATIN CALCIUM,4 MG,00002477290
BUSPIRONE HCL,5 MG,51079098520
DESOXIMETASONE,0.05 %,51672520203
BENAZEPRIL HCL,10 MG,63304033805
HYDROCODONE BIT/ACETAMINOPHEN,10MG-325MG,00406036762
RISPERIDONE MICROSPHERES,12.5MG/2ML,50458030911
CALCIUM CARBONATE,200(500)MG,00536474297
PHENELZINE SULFATE,15 MG,59762011901
PROPANTHELINE BROMIDE,15 MG,00054472125
DIFLORASONE DIACETATE,0.05 %,51672129603
PRENATAL VIT NO.73/IRON/FA,28 MG-1 MG,60258019201
PRIMIDONE,50 MG,68084020201
MORPHINE SULFATE,15 MG,00406831562
OCTREOTIDE ACETATE,100 MCG/ML,62756034944
"NEEDLES, INSULIN DISPOSABLE","31GX5/16""",57515009585
BENAZEPRIL HCL,5 MG,60505026501
ENOXAPARIN SODIUM,60MG/0.6ML,00781335666
ESOMEPRAZOLE MAGNESIUM,10 MG,00186401001
CALCIUM CARBONATE,500(1250),00182157626
FLUCONAZOLE,40 MG/ML,16714069601
BUPROPION HCL,100 MG,00591354005
ETODOLAC,300 MG,00093839701
OXYCODONE HCL,80 MG,52152041102
METHENAMINE MANDELATE,1 G,42799010601
ATENOLOL,100 MG,53489053001
FILGRASTIM,480MCG/1.6,55513054610
TRANDOLAPRIL/VERAPAMIL HCL,2-240MG,68462029601
TRIFLUOPERAZINE HCL,10 MG,00781103601
ERYTHROMYCIN BASE/ETHANOL,2 %,45802096272
LISINOPRIL,5 MG,63304053210
ROPINIROLE HCL,12 MG,00007488213
VALACYCLOVIR HCL,500 MG,65862044830
TORSEMIDE,20 MG,00054007729
CITALOPRAM HYDROBROMIDE,40 MG,59762480203
RIZATRIPTAN BENZOATE,5 MG,00006026612
PRENATAL VIT NO.78/IRON/FA,29 MG-1 MG,60258019001
CARBIDOPA/LEVODOPA,10MG-100MG,00378007801
LOVASTATIN,20 MG,61442014201
"IMMUNE GLOBULIN,GAMMA (IGG)",10 %,00944270004
CLOPIDOGREL BISULFATE,300 MG,63653133202
DOXAZOSIN MESYLATE,1 MG,54458095510
VARICELLA VACCINE LIVE/PF,1350 UNIT,00006482600
HYDROCODONE/IBUPROFEN,7.5-200 MG,62037052405
PSYLLIUM SEED (WITH DEXTROSE),,37205030127
OLMESARTAN MED/AMLODIPINE/HCTZ,40-5-12.5,65597011590
THEOPHYLLINE ANHYDROUS,600 MG,29033000201
GLIMEPIRIDE,4 MG,00781504701
CLOMIPRAMINE HCL,50 MG,51672401201
RISPERIDONE,1 MG/ML,64679069201
MORPHINE SULFATE,50 MG,63857032311
LEVETIRACETAM,250 MG,64376013661
DOCUSATE CALCIUM,240 MG,00536375510
OXYCODONE HCL,20 MG/ML,00406855830
PIROXICAM,20 MG,00378202001
AMITRIPTYLINE HCL,10 MG,51079013120
"DIPH,PERTUSS(ACELL),TET VAC/PF",2.5-8-5/.5,58160084251
DOXYCYCLINE MONOHYDRATE,150 MG,00527153730
GLIPIZIDE,10 MG,60505014202
CHOLECALCIFEROL (VITAMIN D3),1000 UNIT,11845014775
NITROGLYCERIN,0.4 MG,68462014645
ESTRADIOL/NORETH AC,.05-.14/24,00078037742
ALPRAZOLAM,0.5 MG,67253090110
ROPINIROLE HCL,5 MG,23155012701
CLINDAMYCIN PHOSPHATE,900MG/6ML,00409405503
SERTRALINE HCL,50 MG,59762490001
EPROSARTAN MESYLATE,600 MG,00074304011
HYDROCODONE BIT/ACETAMINOPHEN,10MG-500MG,00603388832
HALOPERIDOL,10 MG,00781139701
"NEEDLES, INSULIN DISPOSABLE","31GX3/16""",08290320882
BUSPIRONE HCL,15 MG,00591071818
DICLOFENAC SODIUM,50 MG,00228255011
SUCRALFATE,1 G,63739026110
AZITHROMYCIN,250 MG,00069306030
TERBINAFINE HCL,250 MG,64679020902
DEXTROSE 5 % AND 0.9 % NACL,5%-0.9%,00338008904
GALANTAMINE HBR,12 MG,51079085403
PAROXETINE HCL,10 MG,60505366303
ESTRADIOL ACETATE,0.45MG,00430038924
"FLUCONAZOLE IN NACL,ISO-OSM",400MG/0.2L,00338604537
LISINOPRIL,40 MG,59762227503
TOPIRAMATE,50 MG,50458064065
ALPRAZOLAM,1 MG,67253090250
MORPHINE SULFATE,10 MG,46987041011
DILTIAZEM HCL,300 MG,00228257950
GEMFIBROZIL,600 MG,00071073720
LEVOTHYROXINE SODIUM,125 MCG,00527137601
ENTECAVIR,0.5 MG,00003161113
DESOXIMETASONE,0.05 %,51672126103
DONEPEZIL HCL,5 MG,00781527431
FLUCYTOSINE,500 MG,00187355510
"SYRING W-NDL,DISP,INSUL,0.5ML","31GX5/16""",38396040202
ISOTRETINOIN,20 MG,00555105586
TOLBUTAMIDE,500 MG,00378021501
DOXYCYCLINE HYCLATE,20 MG,00472085010
AZELAIC ACID,20 %,00023869450
ONDANSETRON,4 MG,00093730165
MORPHINE SULFATE,15 MG/ML,10019017963
TRETINOIN,10 MG,00555080802
NISOLDIPINE,25.5 MG,00378209801
PROCHLORPERAZINE EDISYLATE,10 MG/2 ML,00641049125
BISACODYL,5 MG,00574000401
CALCIUM CARBONATE/VITAMIN D3,500 MG-400,49348033019
CLONAZEPAM,0.5 MG,00185006305
PRAMIPEXOLE DI-HCL,0.25 MG,00378170577
PAROXETINE HCL,30 MG,00904567861
APRACLONIDINE HCL,0.5 %,17478071611
DOXAZOSIN MESYLATE,1 MG,60505009301
LISINOPRIL,20 MG,00603421260
LACTOBACILLUS ACIDOPHILUS,,48107004894
SEVELAMER CARBONATE,2.4 G,58468013101
METRONIDAZOLE,0.75 %,00299383802
BACITRACIN,500 UNIT/G,45802006003
LEVOFLOXACIN,750 MG,00904625161
NAPROXEN,375 MG,53746018910
NIFEDIPINE,30 MG,50419070105
CYCLOSPORINE,100 MG,60505013400
WARFARIN SODIUM,2 MG,00406205310
PRAVASTATIN SODIUM,40 MG,00591001619
CLOMIPRAMINE HCL,75 MG,00781204701
IMIPENEM/CILASTATIN SODIUM,250 MG,00006351458
ENALAPRIL MALEATE,5 MG,00185012701
CEPHALEXIN,125 MG/5ML,68180012301
LOSARTAN POTASSIUM,25 MG,00245019390
CLOTRIMAZOLE,1 %,00472022041
PHENYLEPHRINE HCL,2.5 %,24208074002
LOPERAMIDE HCL,2 MG,00904772524
FERROUS SULFATE,325(65) MG,37864000028
RIVASTIGMINE TARTRATE,4.5 MG,00078032506
CALCIUM CARBONATE,600 MG,51645073006
SERTRALINE HCL,100 MG,16252053530
LOPERAMIDE HCL,2 MG,49348052904
FUROSEMIDE,40 MG,00039006050
METOCLOPRAMIDE HCL,5 MG,63739048110
NIZATIDINE,150 MG,68462042560
IBUPROFEN,800 MG,53746013701
SIMVASTATIN,40 MG,68084016411
MU-VITS-MIN TH/LYCOPENE/LUTEIN,.4-300-250,50428300255
FLUOCINONIDE,0.05 %,60429090460
ETODOLAC,400 MG,49158050710
"NA PHOS,M-B/NA PHOS,DI-BA",19G-7G/118,00904353578
DIPHENOXYLATE HCL/ATROPINE,2.5-.025MG,00185002401
TRAMADOL HCL/ACETAMINOPHEN,37.5-325MG,00172635900
CLINDAMYCIN PHOSPHATE,1 %,00299450075
SERTRALINE HCL,50 MG,00904608861
BUPROPION HCL,150 MG,00591083925
CEFOTAXIME SODIUM,1 G,63323033115
KARAYA GUM,,08380007910
TRIFLUOPERAZINE HCL,5 MG,51079057420
INSULIN LISPRO,100/ML,00002879901
NIMODIPINE,30 MG,23155010800
CETIRIZINE HCL,10 MG,49348084712
ATORVASTATIN CALCIUM,10 MG,00591377410
PROPAFENONE HCL,225 MG,50111070901
FEXOFENADINE HCL,180 MG,00904596361
CALCIUM CARB/VIT D3/MINERALS,600 MG-400,87701040268
EPROSARTAN/HYDROCHLOROTHIAZIDE,600-25MG,00074302011
VERAPAMIL HCL,80 MG,00904292061
TRIAZOLAM,0.25 MG,00054485929
PREDNISOLONE SOD PHOSPHATE,15 MG/5 ML,65162066790
FEXOFENADINE HCL,180 MG,49999077230
LORAZEPAM,2 MG/ML,00409677802
ERYTHROMYCIN BASE,500 MG,00074338913
SIMVASTATIN,10 MG,51079068620
PENTOXIFYLLINE,400 MG,51079088920
HYDROCORTISONE ACETATE,1 %,24385027403
ONDANSETRON HCL,4 MG,59762299001
DILTIAZEM HCL,240 MG,00904614961
"SYRNGE&NEEDLE,INSLN,1ML&SHARPS","29GX1/2""",08474010378
QUINAPRIL HCL,40 MG,60505017501
CAPTOPRIL,12.5 MG,00904504561
FEXOFENADINE HCL,30 MG,55111019290
EPINEPHRINE,1 MG/ML,00548906100
MAGNESIUM HYDROXIDE,400 MG/5ML,00182608440
LOPERAMIDE HCL,2 MG,50428672550
MICONAZOLE NITRATE,100 MG,00472173607
EFLORNITHINE HCL,13.9%,67402004030
LANSOPRAZOLE,30 MG,68084046801
TRAMADOL HCL/ACETAMINOPHEN,37.5-325MG,00045065010
ETONOGESTREL,68 MG,00052027201
VENLAFAXINE HCL,75 MG,00008083302
OXCARBAZEPINE,300 MG,51672410601
TORSEMIDE,20 MG,51079002620
VALSARTAN/HYDROCHLOROTHIAZIDE,160-12.5MG,49999094390
ONDANSETRON HCL,2 MG/ML,62756018201
"SYRING W-NDL,DISP,INSUL,0.5ML","30GX5/16""",41318071769
IRON ASPGLY/C/B12/FA/CA-TH/SUC,70-150-1MG,51991054690
CICLOPIROX OLAMINE,0.77%,51672131801
BACITRACIN/POLYMYXIN B SULFATE,500-10K/G,00168027338
RISPERIDONE,2 MG,51079046356
ZINC OXIDE,16 %,62103033304
BENAZEPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,00172536260
HYDRALAZINE HCL,10 MG,51079007420
BUTALB/ACETAMINOPHEN/CAFFEINE,50-325-40,52544095701
DOCUSATE SODIUM,50 MG/5 ML,00904093616
NORTRIPTYLINE HCL,75 MG,00378417501
HYDROCOLLOID DRESSING,"4"" X 4""",68455010697
NALBUPHINE HCL,10 MG/ML,00409146361
DESIPRAMINE HCL,10 MG,00068000701
HYDROCODONE BIT/ACETAMINOPHEN,7.5-750MG,63739013110
CALAMINE/ZINC OXIDE,8 %-8 %,00904253300
LANOLIN ALCOHOL/MO/W.PET/CERES,,72140000022
CIMETIDINE,300 MG,00904544561
CITALOPRAM HYDROBROMIDE,20 MG,57664050883
LANCETS,,08317880128
DIPHENOXYLATE HCL/ATROPINE,2.5-.025MG,00185002410
ZOLPIDEM TARTRATE,10 MG,00603646920
MULTIVITS&MINS/FA/COENZYME Q10,0.1MG-10MG,58914001106
LORATADINE/PSEUDOEPHEDRINE,10MG-240MG,37205034852
MORPHINE SULFATE,80 MG,00228350611
"NEEDLES, INSULIN DISPOSABLE","31GX1/4""",57515009565
ASPIRIN,81 MG,50428547802
ROSIGLITAZONE MALEATE,8 MG,00029316020
LITHIUM CARBONATE,300 MG,00555034502
GEMFIBROZIL,600 MG,68084047311
METHYLPREDNISOLONE,4 MG,51285030121
NITROFURANTOIN MACROCRYSTAL,100 MG,66267015614
OMEPRAZOLE,20 MG,67544051030
"CYCLOSPORINE, MODIFIED",100 MG/ML,60505035401
PHENYLEPH/PRAMOXIN/GLYCR/W.PET,0.25%-1%,49348079932
IBUPROFEN,800 MG,55111010301
LISINOPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,51079069840
MICONAZOLE NITRATE,2 %,49348053077
SULINDAC,150 MG,42806001805
SODIUM CHLORIDE,5 %,17238062035
NYSTATIN,100000/G,00884039602
ACETAMINOPHEN,500 MG,00113040572
"PROTECTIVES, O.U.",,08333334601
MAGNESIUM HYDROXIDE,400 MG/5ML,24385033240
CARBIDOPA/LEVODOPA,50MG-200MG,51079092319
LEVOTHYROXINE SODIUM,200 MCG,00527137990
SILVER NITRATE APPLICATOR,75%-25%,12870000102
DOXYCYCLINE HYCLATE,100 MG,00182153500
CILOSTAZOL,100 MG,52152025001
BUTOCONAZOLE NITRATE,2 %,64011000108
FLUOXETINE HCL,40 MG,63304063290
IRINOTECAN HCL,100 MG/5ML,61703034909
LORATADINE,5 MG/5 ML,50428447481
FLUCONAZOLE,200 MG,60505012201
PROPOXYPHENE/ACETAMINOPHEN,100-650 MG,00406177205
IBUPROFEN,200 MG,63868098309
CEFEPIME HCL,1 G,51479005420
CAPTOPRIL,12.5 MG,00143117125
FINASTERIDE,5 MG,47335071513
CALCIUM CARBONATE,600 MG,62107004206
HYDROCORTISONE,1 %,51672206902
DAPSONE,100 MG,54868380101
MINERAL OIL,,49348055320
CEPHALEXIN,500 MG,55289005840
GABAPENTIN,100 MG,16590010160
ADENOSINE,3 MG/ML,00469823412
0.9 % SODIUM CHLORIDE,0.9 %,50486002915
ASPIRIN,81 MG,51645071308
IBUPROFEN,200 MG,00113064771
