RXCUI,NAME,TTY,ATC_CLS,CLS_NAME,ATC_IN,IN_NAME,IN_RxCUI
1094087,"arginine 6 MG/ML / histidine 4.29 MG/ML / isoleucine 4.62 MG/ML / leucine 7.26 MG/ML / lysine 5.35 MG/ML / methionine 7.26 MG/ML / phenylalanine 7.26 MG/ML / threonine 3.3 MG/ML / tryptophan 1.65 MG/ML / valine 5.28 MG/ML Injectable Solution [Aminosyn-RF 5.2 %, Sulfite-Free]",SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1094329,melatonin 3 MG / tryptophan 100 MG Oral Capsule [Restone],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1189260,"alanine 9 MG/ML / arginine 6.9 MG/ML / glycine 9 MG/ML / histidine 2.1 MG/ML / isoleucine 5.1 MG/ML / leucine 6.6 MG/ML / lysine 5.1 MG/ML / magnesium chloride 0.005 MEQ/ML / methionine 2.8 MG/ML / phenylalanine 3.1 MG/ML / potassium chloride 0.065 MEQ/ML / proline 6.1 MG/ML / serine 3 MG/ML / sodium chloride 0.00479 MEQ/ML / sodium phosphate, dibasic 0.0299 MEQ/ML / threonine 3.7 MG/ML / tryptophan 1.2 MG/ML / tyrosine 0.44 MG/ML / valine 5.6 MG/ML Injectable Solution [Aminosyn 7 % with Electrolytes, Sulfite-Free]",SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1189310,"alanine 8.44 MG/ML / arginine 8.65 MG/ML / aspartate 5.95 MG/ML / glutamate 6.27 MG/ML / glycine 4.25 MG/ML / histidine 2.55 MG/ML / isoleucine 5.61 MG/ML / leucine 8.5 MG/ML / lysine 8.93 MG/ML / magnesium chloride 0.005 MEQ/ML / methionine 1.46 MG/ML / phenylalanine 2.53 MG/ML / potassium chloride 0.066 MEQ/ML / proline 6.14 MG/ML / serine 4.5 MG/ML / sodium chloride 0.01 MEQ/ML / sodium phosphate, dibasic 0.0299 MEQ/ML / threonine 3.4 MG/ML / tryptophan 1.7 MG/ML / tyrosine 2.3 MG/ML / valine 4.25 MG/ML Injectable Solution [Aminosyn II 8.5 % with Electrolytes, Sulfite-Free]",SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1189611,"alanine 11 MG/ML / arginine 8.5 MG/ML / glycine 11 MG/ML / histidine 2.6 MG/ML / isoleucine 6.2 MG/ML / leucine 8.1 MG/ML / lysine 6.24 MG/ML / magnesium chloride 0.00502 MEQ/ML / methionine 3.4 MG/ML / phenylalanine 3.8 MG/ML / potassium chloride 0.0654 MEQ/ML / proline 7.5 MG/ML / serine 3.7 MG/ML / sodium chloride 0.00479 MEQ/ML / sodium phosphate 0.0299 MEQ/ML / threonine 4.6 MG/ML / tryptophan 1.5 MG/ML / tyrosine 0.44 MG/ML / valine 6.8 MG/ML Injectable Solution [Aminosyn 8.5 % with Electrolytes, Sulfite-Free]",SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1189640,alanine 5.4 MG/ML / arginine 12 MG/ML / aspartate 3.2 MG/ML / cysteine 0.24 MG/ML / glutamate 5 MG/ML / glycine 3.6 MG/ML / histidine 4.8 MG/ML / isoleucine 8.2 MG/ML / leucine 1.4 MG/ML / lysine 1.2 MG/ML / methionine 3.4 MG/ML / phenylalanine 4.8 MG/ML / proline 6.8 MG/ML / serine 3.8 MG/ML / sodium acetate 0.097 MEQ/ML / sodium chloride 0.003 MEQ/ML / sodium metabisulfite 0.5 MG/ML / taurine 0.25 MG/ML / threonine 4.2 MG/ML / tryptophan 2 MG/ML / tyrosine 2.84 MG/ML / valine 7.8 MG/ML Injectable Solution [Trophamine 10 %],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1189645,alanine 3.2 MG/ML / arginine 7.3 MG/ML / aspartate 1.9 MG/ML / cysteine 0.2 MG/ML / glutamate 3 MG/ML / glycine 2.2 MG/ML / histidine 2.9 MG/ML / isoleucine 4.9 MG/ML / leucine 8.4 MG/ML / lysine 6.9 MG/ML / methionine 2 MG/ML / phenylalanine 2.9 MG/ML / proline 4.1 MG/ML / serine 2.3 MG/ML / sodium acetate 0.0544 MEQ/ML / sodium chloride 0.003 MEQ/ML / sodium metabisulfite 0.5 MG/ML / taurine 0.15 MG/ML / threonine 2.5 MG/ML / tryptophan 1.2 MG/ML / tyrosine 1.64 MG/ML / valine 4.7 MG/ML Injectable Solution [Trophamine 6 %],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1293420,5-hydroxytryptophan 50 MG / magnesium oxide 50 MG / melatonin 2 MG / tryptophan 100 MG / vitamin B6 10 MG Oral Capsule [Somnicin],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1601982,alanine 21.7 MG/ML / arginine 14.7 MG/ML / aspartate 4.34 MG/ML / glutamate 7.49 MG/ML / glycine 10.4 MG/ML / histidine 8.94 MG/ML / isoleucine 7.49 MG/ML / leucine 10.4 MG/ML / lysine 11.8 MG/ML / methionine 7.49 MG/ML / phenylalanine 10.4 MG/ML / proline 8.94 MG/ML / serine 5.92 MG/ML / threonine 7.49 MG/ML / tryptophan 2.5 MG/ML / tyrosine 0.39 MG/ML / valine 9.6 MG/ML Injectable Solution [Plenamine],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800192,alanine 14.9 MG/ML / arginine 15.3 MG/ML / aspartate 10.5 MG/ML / glutamate 11.1 MG/ML / glycine 7.5 MG/ML / histidine 4.5 MG/ML / isoleucine 9.9 MG/ML / leucine 15 MG/ML / lysine 15.8 MG/ML / methionine 2.58 MG/ML / phenylalanine 4.47 MG/ML / proline 10.8 MG/ML / serine 7.95 MG/ML / threonine 6 MG/ML / tryptophan 3 MG/ML / tyrosine 4.05 MG/ML / valine 7.5 MG/ML Injectable Solution [Aminosyn II 15%],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800213,"alanine 6.95 MG/ML / arginine 7.13 MG/ML / aspartate 4.9 MG/ML / glutamate 5.17 MG/ML / glycine 3.5 MG/ML / histidine 2.1 MG/ML / isoleucine 4.62 MG/ML / leucine 7 MG/ML / lysine 7.35 MG/ML / methionine 1.2 MG/ML / phenylalanine 2.09 MG/ML / proline 5.05 MG/ML / serine 3.71 MG/ML / threonine 2.8 MG/ML / tryptophan 1.4 MG/ML / tyrosine 1.89 MG/ML / valine 3.5 MG/ML Injectable Solution [Aminosyn II 7 %, Sulfite-Free]",SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800220,"alanine 8.44 MG/ML / arginine 8.65 MG/ML / aspartate 5.95 MG/ML / glutamate 6.27 MG/ML / glycine 4.25 MG/ML / histidine 2.55 MG/ML / isoleucine 5.61 MG/ML / leucine 8.5 MG/ML / lysine 8.93 MG/ML / methionine 1.46 MG/ML / phenylalanine 2.53 MG/ML / proline 6.14 MG/ML / serine 4.5 MG/ML / threonine 3.4 MG/ML / tryptophan 1.7 MG/ML / tyrosine 2.3 MG/ML / valine 4.25 MG/ML Injectable Solution [Aminosyn II 8.5 %, Sulfite-Free]",SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800241,alanine 9.93 MG/ML / arginine 10.2 MG/ML / aspartate 7 MG/ML / glutamate 7.38 MG/ML / glycine 5 MG/ML / histidine 3 MG/ML / isoleucine 6.6 MG/ML / leucine 10 MG/ML / lysine 10.5 MG/ML / methionine 1.72 MG/ML / phenylalanine 2.98 MG/ML / proline 7.22 MG/ML / serine 5.3 MG/ML / threonine 4 MG/ML / tryptophan 2 MG/ML / tyrosine 2.7 MG/ML / valine 5 MG/ML Injectable Solution [Aminosyn II 10 %],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800273,"alanine 6.6 MG/ML / arginine 5.07 MG/ML / glycine 6.6 MG/ML / histidine 1.54 MG/ML / isoleucine 7.89 MG/ML / leucine 15.8 MG/ML / lysine 2.65 MG/ML / methionine 2.06 MG/ML / phenylalanine 2.28 MG/ML / proline 4.48 MG/ML / serine 2.21 MG/ML / threonine 2.72 MG/ML / tryptophan 0.88 MG/ML / tyrosine 0.33 MG/ML / valine 7.89 MG/ML Injectable Solution [Aminosyn-HBC 7 %, Sulfite-Free]",SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800345,"alanine 6.98 MG/ML / arginine 12.3 MG/ML / aspartate 5.27 MG/ML / glutamate 8.2 MG/ML / glycine 3.85 MG/ML / histidine 3.12 MG/ML / isoleucine 7.6 MG/ML / leucine 12 MG/ML / lysine 6.77 MG/ML / methionine 1.8 MG/ML / phenylalanine 4.27 MG/ML / proline 8.12 MG/ML / serine 4.95 MG/ML / taurine 0.7 MG/ML / threonine 5.12 MG/ML / tryptophan 1.8 MG/ML / tyrosine 0.44 MG/ML / valine 6.73 MG/ML Injectable Solution [Aminosyn-PF 10 %, Sulfite-Free]",SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800400,alanine 5.7 MG/ML / arginine 3.16 MG/ML / glucose 50 MG/ML / glycine 2.83 MG/ML / histidine 1.32 MG/ML / isoleucine 1.65 MG/ML / leucine 2.01 MG/ML / lysine 1.59 MG/ML / methionine 1.1 MG/ML / phenylalanine 1.54 MG/ML / proline 1.87 MG/ML / serine 1.38 MG/ML / threonine 1.16 MG/ML / tryptophan 0.5 MG/ML / tyrosine 0.11 MG/ML / valine 1.6 MG/ML Injectable Solution [Clinimix 2.75/5],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800405,alanine 8.8 MG/ML / arginine 4.89 MG/ML / glucose 100 MG/ML / glycine 4.38 MG/ML / histidine 2.04 MG/ML / isoleucine 2.55 MG/ML / leucine 3.11 MG/ML / lysine 2.47 MG/ML / methionine 1.7 MG/ML / phenylalanine 2.38 MG/ML / proline 2.89 MG/ML / serine 2.13 MG/ML / threonine 1.79 MG/ML / tryptophan 0.77 MG/ML / tyrosine 0.17 MG/ML / valine 2.47 MG/ML Injectable Solution [Clinimix 4.25/10],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800420,alanine 8.8 MG/ML / arginine 4.89 MG/ML / glucose 50 MG/ML / glycine 4.38 MG/ML / histidine 2.04 MG/ML / isoleucine 2.55 MG/ML / leucine 3.11 MG/ML / lysine 2.47 MG/ML / methionine 1.7 MG/ML / phenylalanine 2.38 MG/ML / proline 2.89 MG/ML / serine 2.13 MG/ML / threonine 1.79 MG/ML / tryptophan 0.77 MG/ML / tyrosine 0.17 MG/ML / valine 2.47 MG/ML Injectable Solution [Clinimix 4.25/5],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800438,alanine 10.4 MG/ML / arginine 5.75 MG/ML / glucose 150 MG/ML / glycine 5.15 MG/ML / histidine 2.4 MG/ML / isoleucine 3 MG/ML / leucine 3.65 MG/ML / lysine 2.9 MG/ML / methionine 2 MG/ML / phenylalanine 2.8 MG/ML / proline 3.4 MG/ML / serine 2.5 MG/ML / threonine 2.1 MG/ML / tryptophan 0.9 MG/ML / tyrosine 0.2 MG/ML / valine 290 MG/ML Injectable Solution [Clinimix 5/15],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800444,alanine 10.4 MG/ML / arginine 5.75 MG/ML / glucose 200 MG/ML / glycine 5.15 MG/ML / histidine 2.4 MG/ML / isoleucine 3 MG/ML / leucine 3.65 MG/ML / lysine 2.9 MG/ML / methionine 2 MG/ML / phenylalanine 2.8 MG/ML / proline 3.4 MG/ML / serine 2.5 MG/ML / threonine 2.1 MG/ML / tryptophan 0.9 MG/ML / tyrosine 0.2 MG/ML / valine 2.9 MG/ML Injectable Solution [Clinimix 5/20],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800588,alanine 21.7 MG/ML / arginine 14.7 MG/ML / aspartate 4.34 MG/ML / glutamate 7.49 MG/ML / glycine 10.4 MG/ML / histidine 8.94 MG/ML / isoleucine 7.49 MG/ML / leucine 10.4 MG/ML / lysine 11.8 MG/ML / methionine 7.49 MG/ML / phenylalanine 10.4 MG/ML / proline 8.94 MG/ML / serine 5.92 MG/ML / threonine 7.49 MG/ML / tryptophan 2.5 MG/ML / tyrosine 0.39 MG/ML / valine 9.6 MG/ML Injectable Solution [Clinisol 15],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
800933,alanine 7.7 MG/ML / arginine 6 MG/ML / cysteine 0.2 MG/ML / glycine 9 MG/ML / histidine 2.4 MG/ML / isoleucine 9 MG/ML / leucine 11 MG/ML / lysine 6.1 MG/ML / methionine 1 MG/ML / phenylalanine 1 MG/ML / phosphoric acid 1.15 MG/ML / proline 8 MG/ML / serine 5 MG/ML / threonine 4.5 MG/ML / tryptophan 0.66 MG/ML / valine 8.4 MG/ML Injectable Solution [Hepatamine 8],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
801000,alanine 8.8 MG/ML / arginine 4.89 MG/ML / calcium chloride 0.004 MEQ/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 50 MG/ML / glycine 4.38 MG/ML / histidine 2.04 MG/ML / isoleucine 2.55 MG/ML / leucine 3.11 MG/ML / lysine 2.47 MG/ML / magnesium chloride 0.01 MEQ/ML / methionine 1.7 MG/ML / phenylalanine 2.38 MG/ML / proline 2.89 MG/ML / serine 2.13 MG/ML / sodium acetate trihydrate 2.97 MG/ML / sodium chloride 0.013 MEQ/ML / threonine 1.79 MG/ML / tryptophan 0.77 MG/ML / tyrosine 0.17 MG/ML / valine 2.47 MG/ML Injectable Solution [Clinimix E 4.25/5],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
801012,alanine 5.7 MG/ML / arginine 3.16 MG/ML / calcium chloride 0.004 MEQ/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 50 MG/ML / glycine 2.83 MG/ML / histidine 1.32 MG/ML / isoleucine 1.65 MG/ML / leucine 2.01 MG/ML / lysine 1.59 MG/ML / magnesium chloride 0.01 MEQ/ML / methionine 1.1 MG/ML / phenylalanine 1.54 MG/ML / proline 1.87 MG/ML / serine 1.38 MG/ML / sodium acetate trihydrate 2.17 MG/ML / sodium chloride 0.02 MEQ/ML / threonine 1.16 MG/ML / tryptophan 0.5 MG/ML / tyrosine 0.11 MG/ML / valine 1.6 MG/ML Injectable Solution [Clinimix E 2.75/5],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
801021,alanine 10.4 MG/ML / arginine 5.75 MG/ML / calcium chloride 0.004 MEQ/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 150 MG/ML / glycine 5.15 MG/ML / histidine 2.4 MG/ML / isoleucine 3 MG/ML / leucine 3.65 MG/ML / lysine 2.9 MG/ML / magnesium chloride 0.01 MEQ/ML / methionine 2 MG/ML / phenylalanine 2.8 MG/ML / proline 3.4 MG/ML / serine 2.5 MG/ML / sodium acetate trihydrate 3.4 MG/ML / sodium chloride 0.01 MEQ/ML / threonine 2.1 MG/ML / tryptophan 0.9 MG/ML / tyrosine 0.2 MG/ML / valine 2.9 MG/ML Injectable Solution [Clinimix E 5/15],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
801031,alanine 10.4 MG/ML / arginine 5.75 MG/ML / calcium chloride 0.004 MEQ/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 200 MG/ML / glycine 5.15 MG/ML / histidine 2.4 MG/ML / isoleucine 3 MG/ML / leucine 3.65 MG/ML / lysine 2.9 MG/ML / magnesium chloride 0.01 MEQ/ML / methionine 2 MG/ML / phenylalanine 2.8 MG/ML / proline 3.4 MG/ML / serine 2.5 MG/ML / sodium acetate trihydrate 3.4 MG/ML / sodium chloride 0.01 MEQ/ML / threonine 2.1 MG/ML / tryptophan 0.9 MG/ML / tyrosine 0.2 MG/ML / valine 2.9 MG/ML Injectable Solution [Clinimix E 5/20],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
801034,alanine 10.4 MG/ML / arginine 5.75 MG/ML / calcium chloride 0.004 MEQ/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 250 MG/ML / glycine 5.15 MG/ML / histidine 2.4 MG/ML / isoleucine 3 MG/ML / leucine 3.65 MG/ML / lysine 2.9 MG/ML / magnesium chloride 0.01 MEQ/ML / methionine 2 MG/ML / phenylalanine 2.8 MG/ML / proline 3.4 MG/ML / serine 2.5 MG/ML / sodium acetate trihydrate 3.4 MG/ML / sodium chloride 0.01 MEQ/ML / threonine 2.1 MG/ML / tryptophan 0.9 MG/ML / tyrosine 0.2 MG/ML / valine 2.9 MG/ML Injectable Solution [Clinimix E 5/25],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
801136,alanine 27.6 MG/ML / arginine 19.6 MG/ML / aspartate 6 MG/ML / glutamate 10.2 MG/ML / glycine 20.6 MG/ML / histidine 11.8 MG/ML / isoleucine 10.8 MG/ML / leucine 10.8 MG/ML / lysine 13.5 MG/ML / methionine 7.6 MG/ML / phenylalanine 10 MG/ML / proline 13.4 MG/ML / serine 10.2 MG/ML / threonine 9.8 MG/ML / tryptophan 3.2 MG/ML / tyrosine 0.5 MG/ML / valine 14.4 MG/ML Injectable Solution [Prosol],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
801398,alanine 3.2 MG/ML / arginine 7.3 MG/ML / aspartate 1.9 MG/ML / cysteine 0.14 MG/ML / glutamate 3 MG/ML / glycine 2.2 MG/ML / histidine 2.9 MG/ML / isoleucine 4.9 MG/ML / leucine 8.4 MG/ML / lysine 4.9 MG/ML / methionine 2 MG/ML / phenylalanine 2.9 MG/ML / proline 4.1 MG/ML / serine 2.3 MG/ML / taurine 0.15 MG/ML / threonine 2.5 MG/ML / tryptophan 1.2 MG/ML / tyrosine 1.4 MG/ML / valine 4.7 MG/ML Injectable Solution [PremaSol],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
801405,alanine 5.4 MG/ML / arginine 12 MG/ML / aspartate 3.2 MG/ML / cysteine 0.16 MG/ML / glutamate 5 MG/ML / glycine 3.6 MG/ML / histidine 4.8 MG/ML / isoleucine 8.2 MG/ML / leucine 14 MG/ML / lysine 8.2 MG/ML / methionine 3.4 MG/ML / phenylalanine 4.8 MG/ML / proline 6.8 MG/ML / serine 3.8 MG/ML / taurine 0.25 MG/ML / threonine 4.2 MG/ML / tryptophan 2 MG/ML / tyrosine 2.4 MG/ML / valine 7.8 MG/ML Injectable Solution [PremaSol],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
