"rxcui","in","str","unit"
"197382","atenolol","100","MG"
"197382","chlorthalidone","25","MG"
"197383","atenolol","50","MG"
"197383","chlorthalidone","25","MG"
"197498","chlorthalidone","15","MG"
"197499","chlorthalidone","25","MG"
"197500","chlorthalidone","50","MG"
"428539","chlorthalidone","12.5","MG"
"884192","chlorthalidone","15","MG"
"884192","clonidine","0.1","MG"
"884198","chlorthalidone","15","MG"
"884198","clonidine","0.2","MG"
"884203","chlorthalidone","15","MG"
"884203","clonidine","0.3","MG"
"315654","chlorthalidone","15","MG"
"315655","chlorthalidone","25","MG"
"317328","chlorthalidone","50","MG"
"331132","chlorthalidone","12.5","MG"
"1000000","amlodipine","5","MG"
"1000000","olmesartan","40","MG"
"1000000","hydrochlorothiazide","12.5","MG"
"1000005","amlodipine","5","MG"
"1000005","olmesartan","40","MG"
"1000005","hydrochlorothiazide","25","MG"
"1011712","aliskiren","150","MG"
"1011712","hydrochlorothiazide","12.5","MG"
"1011715","aliskiren","150","MG"
"1011715","hydrochlorothiazide","25","MG"
"1011752","aliskiren","300","MG"
"1011752","hydrochlorothiazide","12.5","MG"
"1011755","aliskiren","300","MG"
"1011755","hydrochlorothiazide","25","MG"
"208112","hydrochlorothiazide","25","MG"
"208112","spironolactone","25","MG"
"208116","hydrochlorothiazide","50","MG"
"208116","spironolactone","50","MG"
"208124","triamterene","37.5","MG"
"208124","hydrochlorothiazide","25","MG"
"2704018","hydrochlorothiazide","800","MG"
"749833","hydrochlorothiazide","12.5","MG"
"749833","telmisartan","40","MG"
"749837","hydrochlorothiazide","12.5","MG"
"749837","telmisartan","80","MG"
"749841","hydrochlorothiazide","25","MG"
"749841","telmisartan","80","MG"
"805855","candesartan","32","MG"
"805855","hydrochlorothiazide","25","MG"
"805859","candesartan","32","MG"
"805859","hydrochlorothiazide","12.5","MG"
"805863","candesartan","16","MG"
"805863","hydrochlorothiazide","12.5","MG"
"809014","hydrochlorothiazide","12.5","MG"
"809014","valsartan","80","MG"
"809018","hydrochlorothiazide","12.5","MG"
"809018","valsartan","160","MG"
"809022","hydrochlorothiazide","25","MG"
"809022","valsartan","160","MG"
"809026","hydrochlorothiazide","12.5","MG"
"809026","valsartan","320","MG"
"809030","hydrochlorothiazide","25","MG"
"809030","valsartan","320","MG"
"809854","quinapril","10","MG"
"809854","hydrochlorothiazide","12.5","MG"
"809858","quinapril","20","MG"
"809858","hydrochlorothiazide","12.5","MG"
"823934","hydrochlorothiazide","12.5","MG"
"823934","irbesartan","150","MG"
"823938","hydrochlorothiazide","12.5","MG"
"823938","irbesartan","300","MG"
"823971","lisinopril","20","MG"
"823971","hydrochlorothiazide","25","MG"
"823982","lisinopril","20","MG"
"823982","hydrochlorothiazide","12.5","MG"
"823986","lisinopril","10","MG"
"823986","hydrochlorothiazide","12.5","MG"
"847042","olmesartan","40","MG"
"847042","hydrochlorothiazide","25","MG"
"847055","olmesartan","40","MG"
"847055","hydrochlorothiazide","12.5","MG"
"847060","olmesartan","20","MG"
"847060","hydrochlorothiazide","12.5","MG"
"848134","amlodipine","10","MG"
"848134","hydrochlorothiazide","12.5","MG"
"848134","valsartan","160","MG"
"848139","amlodipine","10","MG"
"848139","hydrochlorothiazide","25","MG"
"848139","valsartan","320","MG"
"848144","amlodipine","5","MG"
"848144","hydrochlorothiazide","12.5","MG"
"848144","valsartan","160","MG"
"848149","amlodipine","5","MG"
"848149","hydrochlorothiazide","25","MG"
"848149","valsartan","160","MG"
"848155","amlodipine","10","MG"
"848155","hydrochlorothiazide","25","MG"
"848155","valsartan","160","MG"
"854910","bisoprolol","10","MG"
"854910","hydrochlorothiazide","6.25","MG"
"854918","bisoprolol","2.5","MG"
"854918","hydrochlorothiazide","6.25","MG"
"854921","bisoprolol","5","MG"
"854921","hydrochlorothiazide","6.25","MG"
"858830","enalapril","10","MG"
"858830","hydrochlorothiazide","25","MG"
"866498","hydrochlorothiazide","25","MG"
"866498","metoprolol","100","MG"
"866502","hydrochlorothiazide","25","MG"
"866502","metoprolol","50","MG"
"866506","hydrochlorothiazide","50","MG"
"866506","metoprolol","100","MG"
"882559","quinapril","20","MG"
"882559","hydrochlorothiazide","25","MG"
"898366","benazepril","10","MG"
"898366","hydrochlorothiazide","12.5","MG"
"898371","benazepril","20","MG"
"898371","hydrochlorothiazide","12.5","MG"
"898376","benazepril","20","MG"
"898376","hydrochlorothiazide","25","MG"
"93252","triamterene","75","MG"
"93252","hydrochlorothiazide","50","MG"
"93253","triamterene","37.5","MG"
"93253","hydrochlorothiazide","25","MG"
"979466","losartan","100","MG"
"979466","hydrochlorothiazide","12.5","MG"
"979470","losartan","50","MG"
"979470","hydrochlorothiazide","12.5","MG"
"979473","losartan","100","MG"
"979473","hydrochlorothiazide","25","MG"
"999971","amlodipine","5","MG"
"999971","olmesartan","20","MG"
"999971","hydrochlorothiazide","12.5","MG"
"999990","amlodipine","10","MG"
"999990","olmesartan","40","MG"
"999990","hydrochlorothiazide","12.5","MG"
"999995","amlodipine","10","MG"
"999995","olmesartan","40","MG"
"999995","hydrochlorothiazide","25","MG"
"1000003","amlodipine","5","MG"
"1000003","olmesartan","40","MG"
"1000003","hydrochlorothiazide","25","MG"
"1011711","aliskiren","150","MG"
"1011711","hydrochlorothiazide","12.5","MG"
"1011714","aliskiren","150","MG"
"1011714","hydrochlorothiazide","25","MG"
"1011751","aliskiren","300","MG"
"1011751","hydrochlorothiazide","12.5","MG"
"1011754","aliskiren","300","MG"
"1011754","hydrochlorothiazide","25","MG"
"2704014","hydrochlorothiazide","800","MG"
"562901","triamterene","75","MG"
"562901","hydrochlorothiazide","50","MG"
"562902","triamterene","37.5","MG"
"562902","hydrochlorothiazide","25","MG"
"568840","hydrochlorothiazide","25","MG"
"568840","spironolactone","25","MG"
"568844","hydrochlorothiazide","50","MG"
"568844","spironolactone","50","MG"
"568851","triamterene","37.5","MG"
"568851","hydrochlorothiazide","25","MG"
"749831","hydrochlorothiazide","12.5","MG"
"749831","telmisartan","40","MG"
"749835","hydrochlorothiazide","12.5","MG"
"749835","telmisartan","80","MG"
"749839","hydrochlorothiazide","25","MG"
"749839","telmisartan","80","MG"
"805853","candesartan","32","MG"
"805853","hydrochlorothiazide","25","MG"
"805857","candesartan","32","MG"
"805857","hydrochlorothiazide","12.5","MG"
"805861","candesartan","16","MG"
"805861","hydrochlorothiazide","12.5","MG"
"809012","hydrochlorothiazide","12.5","MG"
"809012","valsartan","80","MG"
"809016","hydrochlorothiazide","12.5","MG"
"809016","valsartan","160","MG"
"809020","hydrochlorothiazide","25","MG"
"809020","valsartan","160","MG"
"809024","hydrochlorothiazide","12.5","MG"
"809024","valsartan","320","MG"
"809028","hydrochlorothiazide","25","MG"
"809028","valsartan","320","MG"
"809852","quinapril","10","MG"
"809852","hydrochlorothiazide","12.5","MG"
"809856","quinapril","20","MG"
"809856","hydrochlorothiazide","12.5","MG"
"823932","hydrochlorothiazide","12.5","MG"
"823932","irbesartan","150","MG"
"823936","hydrochlorothiazide","12.5","MG"
"823936","irbesartan","300","MG"
"823969","lisinopril","20","MG"
"823969","hydrochlorothiazide","25","MG"
"823980","lisinopril","20","MG"
"823980","hydrochlorothiazide","12.5","MG"
"823984","lisinopril","10","MG"
"823984","hydrochlorothiazide","12.5","MG"
"847040","olmesartan","40","MG"
"847040","hydrochlorothiazide","25","MG"
"847053","olmesartan","40","MG"
"847053","hydrochlorothiazide","12.5","MG"
"847058","olmesartan","20","MG"
"847058","hydrochlorothiazide","12.5","MG"
"848132","amlodipine","10","MG"
"848132","hydrochlorothiazide","12.5","MG"
"848132","valsartan","160","MG"
"848137","amlodipine","10","MG"
"848137","hydrochlorothiazide","25","MG"
"848137","valsartan","320","MG"
"848142","amlodipine","5","MG"
"848142","hydrochlorothiazide","12.5","MG"
"848142","valsartan","160","MG"
"848147","amlodipine","5","MG"
"848147","hydrochlorothiazide","25","MG"
"848147","valsartan","160","MG"
"848153","amlodipine","10","MG"
"848153","hydrochlorothiazide","25","MG"
"848153","valsartan","160","MG"
"854909","bisoprolol","10","MG"
"854909","hydrochlorothiazide","6.25","MG"
"854917","bisoprolol","2.5","MG"
"854917","hydrochlorothiazide","6.25","MG"
"854920","bisoprolol","5","MG"
"854920","hydrochlorothiazide","6.25","MG"
"858829","enalapril","10","MG"
"858829","hydrochlorothiazide","25","MG"
"866496","hydrochlorothiazide","25","MG"
"866496","metoprolol","100","MG"
"866500","hydrochlorothiazide","25","MG"
"866500","metoprolol","50","MG"
"866504","hydrochlorothiazide","50","MG"
"866504","metoprolol","100","MG"
"882557","quinapril","20","MG"
"882557","hydrochlorothiazide","25","MG"
"898364","benazepril","10","MG"
"898364","hydrochlorothiazide","12.5","MG"
"898369","benazepril","20","MG"
"898369","hydrochlorothiazide","12.5","MG"
"898374","benazepril","20","MG"
"898374","hydrochlorothiazide","25","MG"
"979465","losartan","100","MG"
"979465","hydrochlorothiazide","12.5","MG"
"979469","losartan","50","MG"
"979469","hydrochlorothiazide","12.5","MG"
"979472","losartan","100","MG"
"979472","hydrochlorothiazide","25","MG"
"999969","amlodipine","5","MG"
"999969","olmesartan","20","MG"
"999969","hydrochlorothiazide","12.5","MG"
"999988","amlodipine","10","MG"
"999988","olmesartan","40","MG"
"999988","hydrochlorothiazide","12.5","MG"
"999993","amlodipine","10","MG"
"999993","olmesartan","40","MG"
"999993","hydrochlorothiazide","25","MG"
"999998","amlodipine","5","MG"
"999998","olmesartan","40","MG"
"999998","hydrochlorothiazide","12.5","MG"
"1000001","amlodipine","5","MG"
"1000001","olmesartan","40","MG"
"1000001","hydrochlorothiazide","25","MG"
"1011710","aliskiren","150","MG"
"1011710","hydrochlorothiazide","12.5","MG"
"1011713","aliskiren","150","MG"
"1011713","hydrochlorothiazide","25","MG"
"1011750","aliskiren","300","MG"
"1011750","hydrochlorothiazide","12.5","MG"
"1011753","aliskiren","300","MG"
"1011753","hydrochlorothiazide","25","MG"
"104370","captopril","25","MG"
"104370","hydrochlorothiazide","12.5","MG"
"1050798","amlodipine","5","MG"
"1050798","aliskiren","150","MG"
"1050798","hydrochlorothiazide","12.5","MG"
"1050803","amlodipine","10","MG"
"1050803","aliskiren","300","MG"
"1050803","hydrochlorothiazide","12.5","MG"
"1050806","amlodipine","10","MG"
"1050806","aliskiren","300","MG"
"1050806","hydrochlorothiazide","25","MG"
"1050809","amlodipine","5","MG"
"1050809","aliskiren","300","MG"
"1050809","hydrochlorothiazide","12.5","MG"
"1050812","amlodipine","5","MG"
"1050812","aliskiren","300","MG"
"1050812","hydrochlorothiazide","25","MG"
"1111439","hydrochlorothiazide","25","MG"
"1111439","metoprolol","200","MG"
"1299859","moexipril","15","MG"
"1299859","hydrochlorothiazide","12.5","MG"
"1299871","moexipril","7.5","MG"
"1299871","hydrochlorothiazide","12.5","MG"
"1299890","moexipril","15","MG"
"1299890","hydrochlorothiazide","25","MG"
"197436","captopril","25","MG"
"197436","hydrochlorothiazide","15","MG"
"197437","captopril","25","MG"
"197437","hydrochlorothiazide","25","MG"
"197438","captopril","50","MG"
"197438","hydrochlorothiazide","15","MG"
"197439","captopril","50","MG"
"197439","hydrochlorothiazide","25","MG"
"197770","hydrochlorothiazide","50","MG"
"197771","hydrochlorothiazide","50","MG"
"197771","reserpine","0.125","MG"
"197885","lisinopril","10","MG"
"197885","hydrochlorothiazide","12.5","MG"
"197886","lisinopril","20","MG"
"197886","hydrochlorothiazide","12.5","MG"
"197887","lisinopril","20","MG"
"197887","hydrochlorothiazide","25","MG"
"197960","hydrochlorothiazide","25","MG"
"197960","methyldopa","250","MG"
"197961","hydrochlorothiazide","50","MG"
"197961","methyldopa","500","MG"
"197962","hydrochlorothiazide","30","MG"
"197962","methyldopa","500","MG"
"197963","hydrochlorothiazide","15","MG"
"197963","methyldopa","250","MG"
"198224","hydrochlorothiazide","25","MG"
"198224","spironolactone","25","MG"
"198225","hydrochlorothiazide","50","MG"
"198225","spironolactone","50","MG"
"198314","triamterene","50","MG"
"198314","hydrochlorothiazide","25","MG"
"198316","triamterene","37.5","MG"
"198316","hydrochlorothiazide","25","MG"
"199903","hydrochlorothiazide","12.5","MG"
"200284","hydrochlorothiazide","12.5","MG"
"200284","valsartan","80","MG"
"200285","hydrochlorothiazide","12.5","MG"
"200285","valsartan","160","MG"
"204501","hydrochlorothiazide","25","MG"
"204501","reserpine","0.125","MG"
"2704012","hydrochlorothiazide","800","MG"
"283316","hydrochlorothiazide","12.5","MG"
"283316","telmisartan","40","MG"
"283317","hydrochlorothiazide","12.5","MG"
"283317","telmisartan","80","MG"
"310664","guanethidine","10","MG"
"310664","hydrochlorothiazide","25","MG"
"310792","hydrochlorothiazide","12.5","MG"
"310792","irbesartan","150","MG"
"310793","hydrochlorothiazide","12.5","MG"
"310793","irbesartan","300","MG"
"310796","quinapril","10","MG"
"310796","hydrochlorothiazide","12.5","MG"
"310797","quinapril","20","MG"
"310797","hydrochlorothiazide","12.5","MG"
"310798","hydrochlorothiazide","25","MG"
"310809","quinapril","20","MG"
"310809","hydrochlorothiazide","25","MG"
"310811","timolol","10","MG"
"310811","hydrochlorothiazide","25","MG"
"310812","triamterene","37.5","MG"
"310812","hydrochlorothiazide","25","MG"
"310818","triamterene","75","MG"
"310818","hydrochlorothiazide","50","MG"
"314029","triamterene","50","MG"
"314029","hydrochlorothiazide","25","MG"
"349353","hydrochlorothiazide","25","MG"
"349353","valsartan","160","MG"
"351292","hydrochlorothiazide","12.5","MG"
"351292","eprosartan","600","MG"
"351293","hydrochlorothiazide","25","MG"
"351293","eprosartan","600","MG"
"403853","olmesartan","20","MG"
"403853","hydrochlorothiazide","12.5","MG"
"403854","olmesartan","40","MG"
"403854","hydrochlorothiazide","12.5","MG"
"403855","olmesartan","40","MG"
"403855","hydrochlorothiazide","25","MG"
"429503","hydrochlorothiazide","12.5","MG"
"477130","hydrochlorothiazide","25","MG"
"477130","telmisartan","80","MG"
"485471","hydrochlorothiazide","25","MG"
"485471","irbesartan","300","MG"
"578325","candesartan","16","MG"
"578325","hydrochlorothiazide","12.5","MG"
"578330","candesartan","32","MG"
"578330","hydrochlorothiazide","12.5","MG"
"636042","hydrochlorothiazide","12.5","MG"
"636042","valsartan","320","MG"
"636045","hydrochlorothiazide","25","MG"
"636045","valsartan","320","MG"
"802749","candesartan","32","MG"
"802749","hydrochlorothiazide","25","MG"
"848131","amlodipine","10","MG"
"848131","hydrochlorothiazide","12.5","MG"
"848131","valsartan","160","MG"
"848135","amlodipine","10","MG"
"848135","hydrochlorothiazide","25","MG"
"848135","valsartan","320","MG"
"848140","amlodipine","5","MG"
"848140","hydrochlorothiazide","12.5","MG"
"848140","valsartan","160","MG"
"848145","amlodipine","5","MG"
"848145","hydrochlorothiazide","25","MG"
"848145","valsartan","160","MG"
"848151","amlodipine","10","MG"
"848151","hydrochlorothiazide","25","MG"
"848151","valsartan","160","MG"
"854908","bisoprolol","10","MG"
"854908","hydrochlorothiazide","6.25","MG"
"854916","bisoprolol","2.5","MG"
"854916","hydrochlorothiazide","6.25","MG"
"854919","bisoprolol","5","MG"
"854919","hydrochlorothiazide","6.25","MG"
"856422","hydrochlorothiazide","25","MG"
"856422","propranolol","40","MG"
"856429","hydrochlorothiazide","25","MG"
"856429","propranolol","80","MG"
"857166","fosinopril","10","MG"
"857166","hydrochlorothiazide","12.5","MG"
"857174","fosinopril","20","MG"
"857174","hydrochlorothiazide","12.5","MG"
"858824","enalapril","5","MG"
"858824","hydrochlorothiazide","12.5","MG"
"858828","enalapril","10","MG"
"858828","hydrochlorothiazide","25","MG"
"858921","enalapril","20","MG"
"858921","hydrochlorothiazide","12.5","MG"
"866452","hydrochlorothiazide","12.5","MG"
"866452","metoprolol","100","MG"
"866461","hydrochlorothiazide","12.5","MG"
"866461","metoprolol","25","MG"
"866472","hydrochlorothiazide","12.5","MG"
"866472","metoprolol","50","MG"
"866479","hydrochlorothiazide","25","MG"
"866479","metoprolol","100","MG"
"866482","hydrochlorothiazide","25","MG"
"866482","metoprolol","50","MG"
"866491","hydrochlorothiazide","50","MG"
"866491","metoprolol","100","MG"
"896976","hydrochlorothiazide","25","MG"
"896976","labetalol","300","MG"
"898362","benazepril","10","MG"
"898362","hydrochlorothiazide","12.5","MG"
"898367","benazepril","20","MG"
"898367","hydrochlorothiazide","12.5","MG"
"898372","benazepril","20","MG"
"898372","hydrochlorothiazide","25","MG"
"898378","benazepril","5","MG"
"898378","hydrochlorothiazide","6.25","MG"
"905203","hydralazine","100","MG"
"905203","hydrochlorothiazide","50","MG"
"905211","hydralazine","25","MG"
"905211","hydrochlorothiazide","25","MG"
"905217","hydralazine","50","MG"
"905217","hydrochlorothiazide","50","MG"
"905353","hydralazine","25","MG"
"905353","hydrochlorothiazide","15","MG"
"905353","reserpine","0.1","MG"
"977883","hydrochlorothiazide","50","MG"
"977883","amiloride","5","MG"
"977920","atenolol","50","MG"
"977920","hydrochlorothiazide","25","MG"
"977920","amiloride","2.5","MG"
"977949","timolol","10","MG"
"977949","hydrochlorothiazide","25","MG"
"977949","amiloride","2.5","MG"
"977950","hydrochlorothiazide","25","MG"
"977950","amiloride","2.5","MG"
"979464","losartan","100","MG"
"979464","hydrochlorothiazide","12.5","MG"
"979468","losartan","50","MG"
"979468","hydrochlorothiazide","12.5","MG"
"979471","losartan","100","MG"
"979471","hydrochlorothiazide","25","MG"
"998694","acebutolol","200","MG"
"998694","hydrochlorothiazide","12.5","MG"
"999967","amlodipine","5","MG"
"999967","olmesartan","20","MG"
"999967","hydrochlorothiazide","12.5","MG"
"999986","amlodipine","10","MG"
"999986","olmesartan","40","MG"
"999986","hydrochlorothiazide","12.5","MG"
"999991","amlodipine","10","MG"
"999991","olmesartan","40","MG"
"999991","hydrochlorothiazide","25","MG"
"999996","amlodipine","5","MG"
"999996","olmesartan","40","MG"
"999996","hydrochlorothiazide","12.5","MG"
"2704009","hydrochlorothiazide","800","MG"
"316047","hydrochlorothiazide","12.5","MG"
"316048","hydrochlorothiazide","15","MG"
"316049","hydrochlorothiazide","25","MG"
"316050","hydrochlorothiazide","30","MG"
"316051","hydrochlorothiazide","50","MG"
"316052","hydrochlorothiazide","6.25","MG"
"197950","methyclothiazide","2.5","MG"
"197951","methyclothiazide","5","MG"
"197952","deserpidine","0.5","MG"
"197952","methyclothiazide","5","MG"
"197953","deserpidine","0.25","MG"
"197953","methyclothiazide","5","MG"
"197954","methyclothiazide","2.5","MG"
"197954","reserpine","0.1","MG"
"316280","methyclothiazide","2.5","MG"
"316281","methyclothiazide","5","MG"
"153155","atenolol","25","MG"
"153155","bendroflumethiazide","1.25","MG"
"197394","bendroflumethiazide","5","MG"
"198000","bendroflumethiazide","5","MG"
"198000","nadolol","40","MG"
"198001","bendroflumethiazide","5","MG"
"198001","nadolol","80","MG"
"250543","timolol","10","MG"
"250543","bendroflumethiazide","2.5","MG"
"308614","bendroflumethiazide","2.5","MG"
"431740","bendroflumethiazide","2.5","MG"
"431740","potassium chloride","630","MG"
"431741","bendroflumethiazide","2.5","MG"
"431741","potassium chloride","573","MG"
"856615","bendroflumethiazide","2.5","MG"
"856615","propranolol","80","MG"
"856616","bendroflumethiazide","5","MG"
"856616","propranolol","160","MG"
"315467","bendroflumethiazide","5","MG"
"317305","bendroflumethiazide","2.5","MG"
"385564","bendroflumethiazide","1.25","MG"
"198110","polythiazide","1","MG"
"198111","polythiazide","2","MG"
"198112","polythiazide","4","MG"
"312481","polythiazide","0.5","MG"
"312481","prazosin","1","MG"
"312482","polythiazide","0.5","MG"
"312482","prazosin","2","MG"
"312483","polythiazide","0.5","MG"
"312483","prazosin","5","MG"
"316527","polythiazide","0.5","MG"
"316528","polythiazide","1","MG"
"316529","polythiazide","2","MG"
"316530","polythiazide","4","MG"
"205488","bumetanide","0.5","MG"
"205489","bumetanide","1","MG"
"205490","bumetanide","2","MG"
"566394","bumetanide","0.5","MG"
"566395","bumetanide","1","MG"
"566396","bumetanide","2","MG"
"104222","bumetanide","5","MG"
"104223","bumetanide","0.5","MG"
"1727569","bumetanide","0.25","MG"
"1727572","bumetanide","0.25","MG"
"197417","bumetanide","0.5","MG"
"197418","bumetanide","1","MG"
"197419","bumetanide","2","MG"
"250660","bumetanide","0.2","MG"
"2712344","bumetanide","0.25","MG"
"282486","bumetanide","0.25","MG"
"431610","bumetanide","0.5","MG"
"431610","potassium chloride","573","MG"
"977951","bumetanide","1","MG"
"977951","amiloride","5","MG"
"315499","bumetanide","0.25","MG"
"315500","bumetanide","0.5","MG"
"315501","bumetanide","1","MG"
"315502","bumetanide","2","MG"
"332695","bumetanide","0.2","MG"
"332696","bumetanide","5","MG"
"360517","bumetanide","0.5","MG"
"1112201","furosemide","50","MG"
"1546054","furosemide","12.5","MG"
"1546056","furosemide","50","MG"
"200801","furosemide","20","MG"
"200809","furosemide","40","MG"
"205732","furosemide","80","MG"
"2621028","furosemide","8","MG"
"545041","furosemide","50","MG"
"630035","furosemide","12.5","MG"
"645036","furosemide","50","MG"
"1112199","furosemide","50","MG"
"1546050","furosemide","12.5","MG"
"1546055","furosemide","50","MG"
"2621025","furosemide","8","MG"
"545039","furosemide","50","MG"
"565450","furosemide","20","MG"
"565458","furosemide","40","MG"
"566621","furosemide","80","MG"
"630033","furosemide","12.5","MG"
"645035","furosemide","50","MG"
"104220","furosemide","4","MG"
"1719286","furosemide","10","MG"
"1719290","furosemide","10","MG"
"1719291","furosemide","10","MG"
"197730","furosemide","10","MG"
"197731","furosemide","8","MG"
"197732","furosemide","80","MG"
"199610","furosemide","500","MG"
"204154","furosemide","50","MG"
"246399","furosemide","20","MG"
"246399","spironolactone","50","MG"
"248657","furosemide","50","MG"
"250708","triamterene","50","MG"
"250708","furosemide","40","MG"
"251308","furosemide","1","MG"
"2621022","furosemide","8","MG"
"2683305","furosemide","10","MG"
"2683306","furosemide","10","MG"
"310429","furosemide","20","MG"
"313988","furosemide","40","MG"
"630032","furosemide","12.5","MG"
"727574","furosemide","10","MG"
"727575","furosemide","10","MG"
"977890","furosemide","80","MG"
"977890","amiloride","10","MG"
"977945","furosemide","20","MG"
"977945","amiloride","2.5","MG"
"977959","furosemide","40","MG"
"977959","amiloride","5","MG"
"315970","furosemide","20","MG"
"315971","furosemide","40","MG"
"315972","furosemide","8","MG"
"317376","furosemide","10","MG"
"317377","furosemide","80","MG"
"331965","furosemide","500","MG"
"334835","furosemide","50","MG"
"336694","furosemide","1","MG"
"360516","furosemide","4","MG"
"361776","furosemide","50","MG"
"630031","furosemide","12.5","MG"
"1251905","ethacrynate","25","MG"
"1251904","ethacrynate","25","MG"
"1251903","ethacrynate","25","MG"
"1251907","ethacrynate","50","MG"
"1251902","ethacrynate","25","MG"
"1251906","ethacrynate","50","MG"
"2589877","torsemide","20","MG"
"2589883","torsemide","40","MG"
"2589887","torsemide","60","MG"
"2682561","torsemide","2","MG"
"2589873","torsemide","20","MG"
"2589882","torsemide","40","MG"
"2589886","torsemide","60","MG"
"2682557","torsemide","2","MG"
"198369","torsemide","10","MG"
"198370","torsemide","100","MG"
"198371","torsemide","20","MG"
"198372","torsemide","5","MG"
"250044","torsemide","2.5","MG"
"2589881","torsemide","40","MG"
"2589885","torsemide","60","MG"
"2682555","torsemide","2","MG"
"2589880","torsemide","40","MG"
"2589884","torsemide","60","MG"
"2682552","torsemide","2","MG"
"316842","torsemide","10","MG"
"316844","torsemide","100","MG"
"316845","torsemide","5","MG"
"317521","torsemide","20","MG"
"335760","torsemide","2.5","MG"
"197815","indapamide","1.25","MG"
"197816","indapamide","2.5","MG"
"433844","indapamide","1.5","MG"
"854993","perindopril","4","MG"
"854993","indapamide","1.25","MG"
"316079","indapamide","1.25","MG"
"316080","indapamide","2.5","MG"
"335013","indapamide","1.5","MG"
"1235150","azilsartan","40","MG"
"1235150","chlorthalidone","12.5","MG"
"1235157","azilsartan","40","MG"
"1235157","chlorthalidone","25","MG"
"214081","chlorthalidone","15","MG"
"214083","chlorthalidone","25","MG"
"2709679","chlorthalidone","12.5","MG"
"746023","atenolol","100","MG"
"746023","chlorthalidone","25","MG"
"746030","atenolol","50","MG"
"746030","chlorthalidone","25","MG"
"884196","chlorthalidone","15","MG"
"884196","clonidine","0.1","MG"
"884202","chlorthalidone","15","MG"
"884202","clonidine","0.2","MG"
"884207","chlorthalidone","15","MG"
"884207","clonidine","0.3","MG"
"1235146","azilsartan","40","MG"
"1235146","chlorthalidone","12.5","MG"
"1235153","azilsartan","40","MG"
"1235153","chlorthalidone","25","MG"
"2709675","chlorthalidone","12.5","MG"
"573920","chlorthalidone","15","MG"
"573922","chlorthalidone","25","MG"
"746021","atenolol","100","MG"
"746021","chlorthalidone","25","MG"
"746028","atenolol","50","MG"
"746028","chlorthalidone","25","MG"
"884194","chlorthalidone","15","MG"
"884194","clonidine","0.1","MG"
"884200","chlorthalidone","15","MG"
"884200","clonidine","0.2","MG"
"884205","chlorthalidone","15","MG"
"884205","clonidine","0.3","MG"
"104248","triamterene","50","MG"
"104248","chlorthalidone","50","MG"
"1235144","azilsartan","40","MG"
"1235144","chlorthalidone","12.5","MG"
"1235151","azilsartan","40","MG"
"1235151","chlorthalidone","25","MG"
"152916","atenolol","50","MG"
"152916","chlorthalidone","12.5","MG"
"197382","atenolol","100","MG"
"197382","chlorthalidone","25","MG"
"197383","atenolol","50","MG"
"197383","chlorthalidone","25","MG"
"197498","chlorthalidone","15","MG"
"197499","chlorthalidone","25","MG"
"197500","chlorthalidone","50","MG"
"428539","chlorthalidone","12.5","MG"
"884192","chlorthalidone","15","MG"
"884192","clonidine","0.1","MG"
"884198","chlorthalidone","15","MG"
"884198","clonidine","0.2","MG"
