Comp_OID,Symbolic_name,CodingSystemName,SubmitterFirst,SubmitterLast,Submitter_Email,Submitter2,Contact_person_desc,Contact_person_address,Contact_person_phone,Contact_person_email,Contact_person_info,Resp_body_name,Resp_body_address,Resp_body_phone,Resp_body_email,Resp_body_URL,Resp_body_Type,Resp_body_oid,External_OID_flag,externalOIDsubType,replacedBy,Oid_Type,assignment_status,AA_OID,AA_description,Object_description,Date_begun,Date_finalized,Entry_Timestamp,T396mnemonic,Preferred_Realm
2.16.840.1.113883.6.6,read-Codes,CTV3,David,Robinson,masked,,"Paul Frosdick, NHS Information Authority","Aqueous 2, Rocky lane, Aston cross, Birmingham, UK",+44 (0)121 333 0331,masked,,National Health Service (UK),Aqueous IIAston CrossRocky LaneBirminghamB6 5RQUK,+44 (0)121 333 0333,information@nhsia.nhs.uk,http://www.nhsia.nhs.uk/def/home.asp,Provider,,Int,,,6,Complete,,National Health Service (UK),"Clinical Terms Version 3 - The Read Codes - contains over 200,000 coded concepts arranged in a sub-type hierarchical structure. 	 Top level hierarchy sections:	DisordersFindings MorphologySurgical proceduresRegimes & therapiesInvestigationsStages & scalesOccupationsOrganismsUnitsDrugsAppliances & equipment", ,2009/10/14 12:00:00,2009/10/14 12:00:00,,UV
2.16.840.1.113883.6.7,naaccrCodes,NAACCR,Ted,Klein,masked,,Lori Havener,"North American Association ofCentral Cancer Registries, Inc.2121 West White Oaks DriveSuite BSpringfield, IL 62704-6495",(217) 698-0800 Ext. 3,masked,,"North American Association ofCentral Cancer Registries, Inc.","2121 West White Oaks DriveSuite BSpringfield, IL 62704-6495",(217) 698-0800,,http://www.naaccr.org/,,,Int,14,,6,Complete,,,"NAACCR Cancer Registry code lists.  This branch node has the short code list vocabularies used in NAACCR Cancer Registries, as defined in the NAACCR standards.", ,2009/10/14 12:00:00,2009/10/24 12:00:00,,UV
2.16.840.1.113883.6.8,ucum,Unified Code for Units of Measure,Harold,Solbrig,masked,,Gunther Schadow,"410 West 10th StreetSuite 2000Indianapolis, IN 46202",,masked,,Regenstrief Institute,"410 West 10th StreetSuite 2000Indianapolis, IN 46202",,loinc@regenstrief.iupui.edu,http://www.regenstrief.org,Academic,,Int,,,6,Complete,,,"Unified Code for Units of Measure.  The Unified Code for Units of Measure is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.http://unitsofmeasure.org/", ,2009/10/14 12:00:00,2009/10/14 12:00:00,UCUM,UV
2.16.840.1.113883.6.9,iso4217-HL7,ISO 4217 currency code,,,masked,,,,,masked,,,,,,,SDO,,Int,,1.0.4217,6,Deprecated,,,ISO 4217 currency code, ,2009/10/14 12:00:00, ,,UV
2.16.840.1.113883.6.10,mime,IETF MIME,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,IETF MIME media types, , , ,,UV
2.16.840.1.113883.6.11,url,URL,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,Universal Resource Locator (URL) schemes.  Currently there is no single authority for URL schemes.  The authority for URL scheme assignments clearly lies within IANA or W3C and it is likely that a formal URL/URI assigning authority will be formed soon., , , ,,UV
2.16.840.1.113883.6.12,cpt-4,Current Procedure Terminology 4 (CPT-4),Harold,Solbrig,masked,,Dorith Brown,"American Medical Association515 N. State StreetChicago, IL  60610United States",1-312-464-5762,masked,CPT Intellectual Property Services,American Medical Association,"515 N. State StreetChicago, IL  60610United States",1-800-621-8335,,http://www.ama-assn.org/ama/pub/category/3113.html,Prof Soc,,Pxy,,,6,Complete,,HL7,American Medical Association’s Current Procedure Terminology 4 (CPT-4) codes., ,2010/01/26 12:00:00, ,C4,UV
2.16.840.1.113883.6.13,cdt-ADAcodes,Code on Dental Procedures and Nomenclature,,,masked,,"Center for Dental Benefits, Coding and Quality","American Dental Association211 East ChicagoChicago, IL 60611Att. Practice Institute     Center for Dental Benefits, Coding and Quality",312-440-2327,masked,CDT Code Maintenance and Development,American Dental Association,,,dentalcode@ada.org,http://www.ada.org/cdt,Prof Soc,,Int,,,6,Complete,,,"The CDT Code (Code on Dental Procedures and Nomenclature) is the dental procedure code set owned and maintained by the American Dental Association.  It is under copyright and may be licensed for use.  Licensing information is available on line at http://www.ada.org/en/publications/ada-catalog/cdt-products/licensing-for-commercial-users The CDT Code's purpose is to achieve uniformity, consistency and specificity in accurately documenting dental treatment and services. One use of the CDT Code is to provide for the efficient processing of dental claims, and another is to populate an Electronic Health Record.On August 17, 2000 the CDT Code was named as a HIPAA standard code set.", ,2009/10/14 12:00:00,2017/06/22 12:21:59,,UV
2.16.840.1.113883.6.14,HPC,HCPCS,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,"Healthcare Financing Administration (HCFA) Common Procedure Coding System (HCPCS).  Is composed of three “levels”.  Level I is CPT-4, level II is CDT-2, and level 3 are the HCPCS modifiers.  Only the HCPCS modifiers are maintained by the Alpha-Numeric Editorial Panel, consisting of the Health Insurance Association of America and the Blue Cross and Blue Shield Association.", , , ,,UV
2.16.840.1.113883.6.15,nic,Nursing Intervention Classification,Suzanne,Bakken,masked,,Joanne McCloskey Dochterman and Gloria Bulechek,"Center for Nursing ClassificationCollege of NursingThe University of IowaIowa City, IA 52242",319-335-7051/319-335-7120/319-335-7115,masked,,Center for Nursing Classification,"College of NursingThe University of IowaIowa City, IA 52242",319-335-7051/319-335-7120/319-335-7115,joanne-dochterman@uiowa.edu,,,,Int,,,6,Complete,,,"NIC provides names and values for procedures/orders/service intent related to the treatment activities of nurses and other providers who may perform the same treatment activities.  Names, definitions, and associated codes are attached for 486 interventions.  Defining activities (anywhere from ten to several dozen) are listed for each of the interventions in the NIC classification book but are not attached to this document.", ,2009/10/14 12:00:00, ,,UV
2.16.840.1.113883.6.16,noc,NOC - Nursing Outcome Classification,Suzanne,Bakken,masked,,"Sue Moorhead, PhD","College of NursingUniversity of Iowa458 Nursing Building50 Newton RoadIowa City, IA 52242-1121",319-335-7110,masked,,University of Iowa College of Nursing,"College of NursingUniversity of Iowa101 Nursing Building50 Newton RoadIowa City, IA 52242-1121",,leslie-gannon@uiowa.edu,http://www.nursing.uiowa.edu/excellence/nursing_knowledge/clinical_effectiveness/noc.htm,,,Int,,,6,Complete,,,"The ANA's Congress of Nursing Practice Steering Committee on Databases to Support Clinical Nursing Practice has recognized Nursing Outcomes Classification (NOC) as a classification system useful for clinical nursing practice.The NOC 3rd edition includes 330 outcomes including 76 new outcomes and a revised measurement scale. Core outcomes are identified for 41 specialties, linkages with NANDA diagnoses and with Gordon's functional health patterns have been updated, and the outcomes are organized in both the NOC taxonomy and the Taxonomy of Nursing Practice. This edition of NOC also reports the research results form 10 clinical testing sites.", ,2009/10/14 12:00:00, ,,UV
2.16.840.1.113883.6.17,hhcc,Home HealthCare Classification System,Suzanne,Bakken,masked,,,,,masked,,,,,,,Academic,,Int,,2.16.840.1.113883.6.236,6,Complete,,,"Home HealthCare Classification System codes.Note that this code system has been retired, and has been replaced by 2.16.840.1.113883.6.236 CCC.", , , ,,UV
2.16.840.1.113883.6.18,ib,ISBT 128,Edwin A,Steane,masked,,Erwin Cabana,"PO Box 11309, San Bernardino, CA  92423",9097936516,masked,Technical Manager,ICCBBA,"PO Box 11309, San Bernardino, CA  92423",9097936516,iccbba@iccbba.org,https://www.iccbba.org,SDO,,Int,,,6,Complete,,,"ISBT 128 is the global standard for the terminology, identification, coding and labeling of medical products of human origin (including blood, cell, tissue, milk, and organ products). It is comprised of the ISBT 128 Technical Specification, ISBT 128 Standard Terminology, databases, reference tables, and product-specific labeling and coding documents.  ISBT 128 coding is designed as a series of data structures that are technology-independent and can be used for bar coding, radio frequency tag encoding, and electronic data interchange.  No changes are needed to use ISBT 128 in HL7 messages.  ISBT 128 OIDs are documented in the ISBT 128 Technical Specification.", ,2001/05/10 12:00:00,2015/09/24 03:45:39,IB,UV
2.16.840.1.113883.6.19,camncvs,CAMNCVS,Melinna,Giannini,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,CAM & Nursing Coding Vocabulary Set,2001/05/10 12:00:00, ,2001/05/10 04:05:00,,UV
2.16.840.1.113883.6.20,nanda,NANDA,Melinna,Giannini,masked,,"Kay C. Avant, RN, PhD, FAAN","7601 Tallahassee, Waco, Tx  76712",254 772 5572,masked,,North American Nursing Diagnosis Association,"1211Locust St., Philadelphia, PA19107",215 545 7222,www.NANDA@rmpinc.com,www.NANDA.org,,,Int,,,6,Complete,,,"The terminology consists of standardized terms and codes for patient problems or life processes expressed as nursing diagnoses. These data elements would be classified by HL7 as “observations”. The taxonomy is  multi-axial. It consists of 12 domains and 36 classes. All domains and classes are defined. There are 7 axes with definitions for each. Each nursing diagnosis consists of: a concept label or term expressed as a noun or a noun phrase; a definition of the term; a set of defining characteristics (signs and symptoms) of the diagnostic term; an approved list of modifiers of the term; a set of risk factors with definitions; and a set of related factors (or etiologies) for the term.  The system preserves semantics by having robust review procedures and policies to ensure against semantic drift in the meanings of the encoded terms over time. NANDA as an organization is committed to updating the terminology on a regular biannual basis. 	NANDA has been in existence since 1973 and is thus the oldest developer of standardized language in nursing. Most other nursing language systems use many of the older NANDA terms in their vocabularies. The express purpose of the organization is to develop a comprehensive standardized nursing language that captures the conclusions that nurses make based on observations – in effect, the nursing diagnoses. The work is a continuing effort and diagnoses are revised, retired or added bi-annually. The codes are simple integers and are not linked to each other. If a diagnostic term is retired, the code is also retired. If a new diagnosis is added a new code is given to that term. If a diagnostic term is revised, the code is kept intact but the date of the revision is published alongside the term. Domains and classes are not coded.",2001/05/10 12:00:00,2001/05/10 12:00:00,2001/05/10 04:05:00,,UV
2.16.840.1.113883.5.18,acknowledgementType,Acknowledgement Type,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,This attribute contains an acknowledgement code as described in the HL7 message processing rules.OpenIssue: Description was copied from attribute and needs to be improved to be appropriate for a code system., , , ,,UV
2.16.840.1.113883.5.6,actClass,ActClass,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,"HL7 Structural Code System ActClass, which classifies the kinds of Acts that are encoded in Act.code.", ,2009/09/11 12:00:00, ,,UV
2.16.840.1.113883.5.3,Act,Act,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Act, , , ,,UV
2.16.840.1.113883.5.4,actCode,Act Code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,"A code specifying the particular kind of Act that the Act-instance represents within its class.Constraints: The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc.Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.", , , ,,UV
2.16.840.1.113883.5.5,ActInterpretation,ActInterpretation,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,ActInterpretation, , , ,,UV
2.16.840.1.113883.5.7,actPriority,Act Priority,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,"A set of codes (e.g., for routine, emergency), specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen. ", , , ,,UV
2.16.840.1.113883.5.8,actReason,Act Reason,,,masked,,,,,masked,,,,,,,SDO,,Int,,,5,Complete,,,"A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.Examples: Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".", , , ,,UV
2.16.840.1.113883.5.10,ActRelationshipCheckpoint,ActRelationshipCheckpoint,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,ActRelationshipCheckpoint, , , ,,UV
2.16.840.1.113883.5.11,ActRelationshipConjunction,ActRelationshipConjunction,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,ActRelationshipConjunction, , , ,,UV
2.16.840.1.113883.5.12,ActRelationshipJoin,ActRelationshipJoin,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,HL7 Structural coding system ActRelationshipJoin, ,2009/09/11 12:00:00, ,,UV
2.16.840.1.113883.5.13,ActRelationshipSplit,ActRelationshipSplit,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,ActRelationshipSplit, , , ,,UV
2.16.840.1.113883.5.14,ActStatus,ActStatus,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,ActStatus, , , ,,UV
2.16.840.1.113883.5.15,ActType,ActType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,ActType, , , ,,UV
2.16.840.1.113883.5.16,addressPartType,Address Part Type,Grahame,Grieve,masked,,HL7 Modeling and Methodology Workgroup,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",(+1) 734-677-7777,masked,,HL7 Modeling and Methodology Workgroup,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",(+1) 734-677-7777,hq@hl7.org,http://www.hl7.org,SDO,,Int,,,5,Complete,,HL7,"Code that specifies whether an address part names the street, city, country, postal code, post box, etc.The hierarchical nature of these concepts shows composition.  E.g. ""Street Name"" is part of ""Street Address Line""", ,2009/12/23 12:00:00, ,,UV
2.16.840.1.113883.5.17,AddressUse,AddressUse,,,masked,,,,,masked,,,,,,,,,Int,,2.16.840.1.113883.5.1119,5,Retired,,,"AddressUse.  Added many years ago as part of the automatic add from the datatype proposed spec.  Removed sometime prior to 2006.    Retired as of the Novebmer 2008 Harmonization meeting, and replaced by 2.16.840.1.113883.5.1119 AddressUse.", , , ,,UV
2.16.840.1.113883.5.9,CalendarCycle,CalendarCycle,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,CalendarCycle, , , ,,UV
2.16.840.1.113883.5.21,Charset,Charset,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Charset, , , ,,UV
2.16.840.1.113883.5.22,CodeSystem,CodeSystem,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,CodeSystem, , , ,,UV
2.16.840.1.113883.5.24,ConceptGenerality,ConceptGenerality,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,ConceptGenerality, , , ,,UV
2.16.840.1.113883.5.25,confidentiality,Confidentiality,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,"Values that control disclosure of information.Example: Normal, restricted, substance abuse related.", , , ,,UV
2.16.840.1.113883.5.26,containerCap,Container Cap,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,The type of cap associated with a container., , , ,,UV
2.16.840.1.113883.5.27,ContainerSeparator,ContainerSeparator,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,ContainerSeparator, , , ,,UV
2.16.840.1.113883.5.28,Country,Country,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Country, , , ,,UV
2.16.840.1.113883.5.30,EntityDeterminer,EntityDeterminer,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,EntityDeterminer, , , ,,UV
2.16.840.1.113883.5.31,DeviceAlertLevel,DeviceAlertLevel,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,DeviceAlertLevel, , , ,,UV
2.16.840.1.113883.5.32,DietService,DietService,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,DietService, , , ,,UV
2.16.840.1.113883.5.33,DocumentCompletion,DocumentCompletion,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,DocumentCompletion, , , ,,UV
2.16.840.1.113883.5.34,DocumentStorage,DocumentStorage,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,DocumentStorage, , , ,,UV
2.16.840.1.113883.5.35,EditStatus,EditStatus,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,EditStatus, , , ,,UV
2.16.840.1.113883.5.36,EncounterAccident,EncounterAccident,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,EncounterAccident, , , ,,UV
2.16.840.1.113883.5.37,EncounterAdmissionSource,EncounterAdmissionSource,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,EncounterAdmissionSource, , , ,,UV
2.16.840.1.113883.5.38,EncounterAdmissionPriority,EncounterAdmissionPriority,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,EncounterAdmissionPriority, , , ,,UV
2.16.840.1.113883.5.39,EncounterReferralSource,EncounterReferralSource,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,EncounterReferralSource, , , ,,UV
2.16.840.1.113883.5.40,EncounterSpecialCourtesy,EncounterSpecialCourtesy,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,EncounterSpecialCourtesy, , , ,,UV
2.16.840.1.113883.5.41,EntityClass,EntityClass,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,EntityClass, , , ,,UV
2.16.840.1.113883.5.42,EntityHandling,EntityHandling,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,EntityHandling, , , ,,UV
