CLS,SUBCLS,IN,RXCUI,NAME,TTY
antihypertensive,Thiazide diuretics,chlorthalidone ,884196,chlorthalidone 15 MG / clonidine hydrochloride 0.1 MG Oral Tablet [Clorpres],SBD
antihypertensive,Thiazide diuretics,chlorthalidone ,884202,chlorthalidone 15 MG / clonidine hydrochloride 0.2 MG Oral Tablet [Clorpres],SBD
antihypertensive,Thiazide diuretics,chlorthalidone ,884207,chlorthalidone 15 MG / clonidine hydrochloride 0.3 MG Oral Tablet [Clorpres],SBD
antihypertensive,Thiazide diuretics,chlorthalidone ,1235146,azilsartan medoxomil 40 MG / chlorthalidone 12.5 MG [Edarbyclor],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,1235153,azilsartan medoxomil 40 MG / chlorthalidone 25 MG [Edarbyclor],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,573920,chlorthalidone 15 MG [Thalitone],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,573922,chlorthalidone 25 MG [Thalitone],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,746021,atenolol 100 MG / chlorthalidone 25 MG [Tenoretic],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,746028,atenolol 50 MG / chlorthalidone 25 MG [Tenoretic],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,884194,chlorthalidone 15 MG / clonidine hydrochloride 0.1 MG [Clorpres],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,884200,chlorthalidone 15 MG / clonidine hydrochloride 0.2 MG [Clorpres],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,884205,chlorthalidone 15 MG / clonidine hydrochloride 0.3 MG [Clorpres],SBDC
antihypertensive,Thiazide diuretics,chlorthalidone ,1235147,azilsartan / chlorthalidone Oral Tablet [Edarbyclor],SBDF
antihypertensive,Thiazide diuretics,chlorthalidone ,368711,chlorthalidone Oral Tablet [Thalitone],SBDF
antihypertensive,Thiazide diuretics,chlorthalidone ,746022,atenolol / chlorthalidone Oral Tablet [Tenoretic],SBDF
antihypertensive,Thiazide diuretics,chlorthalidone ,884195,chlorthalidone / clonidine Oral Tablet [Clorpres],SBDF
antihypertensive,Thiazide diuretics,chlorthalidone ,1173699,Clorpres Pill,SBDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1173700,Clorpres Oral Product,SBDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1182013,Tenoretic Oral Product,SBDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1182014,Tenoretic Pill,SBDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1184927,Thalitone Oral Product,SBDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1184928,Thalitone Pill,SBDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1235148,Edarbyclor Oral Product,SBDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1235149,Edarbyclor Pill,SBDG
antihypertensive,Thiazide diuretics,chlorthalidone ,104248,chlorthalidone 50 MG / triamterene 50 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,1235144,azilsartan medoxomil 40 MG / chlorthalidone 12.5 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,1235151,azilsartan medoxomil 40 MG / chlorthalidone 25 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,152916,atenolol 50 MG / chlorthalidone 12.5 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,197498,chlorthalidone 15 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,197499,chlorthalidone 25 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,197500,chlorthalidone 50 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,884192,chlorthalidone 15 MG / clonidine hydrochloride 0.1 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,884198,chlorthalidone 15 MG / clonidine hydrochloride 0.2 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,884203,chlorthalidone 15 MG / clonidine hydrochloride 0.3 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorthalidone ,315654,chlorthalidone 15 MG,SCDC
antihypertensive,Thiazide diuretics,chlorthalidone ,315655,chlorthalidone 25 MG,SCDC
antihypertensive,Thiazide diuretics,chlorthalidone ,317328,chlorthalidone 50 MG,SCDC
antihypertensive,Thiazide diuretics,chlorthalidone ,331132,chlorthalidone 12.5 MG,SCDC
antihypertensive,Thiazide diuretics,chlorthalidone ,1235142,azilsartan / chlorthalidone Oral Tablet,SCDF
antihypertensive,Thiazide diuretics,chlorthalidone ,370620,atenolol / chlorthalidone Oral Tablet,SCDF
antihypertensive,Thiazide diuretics,chlorthalidone ,371472,chlorthalidone Oral Tablet,SCDF
antihypertensive,Thiazide diuretics,chlorthalidone ,371580,chlorthalidone / clonidine Oral Tablet,SCDF
antihypertensive,Thiazide diuretics,chlorthalidone ,376315,chlorthalidone / triamterene Oral Tablet,SCDF
antihypertensive,Thiazide diuretics,chlorthalidone ,1154370,atenolol / chlorthalidone Oral Product,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1154371,atenolol / chlorthalidone Pill,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1155783,chlorthalidone / clonidine Oral Product,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1155784,chlorthalidone / clonidine Pill,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1155793,chlorthalidone / triamterene Oral Product,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1155794,chlorthalidone / triamterene Pill,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1155795,chlorthalidone Oral Product,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1155796,chlorthalidone Pill,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1235140,azilsartan / chlorthalidone Oral Product,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,1235141,azilsartan / chlorthalidone Pill,SCDG
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,5487,hydrochlorothiazide,IN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1006894,hydrochlorothiazide / sotalol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1007083,diltiazem / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1007360,hydrochlorothiazide / pindolol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1007929,hydrochlorothiazide / triamterene / verapamil,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1007970,clonidine / hydrochlorothiazide / triamterene,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1007974,hydrochlorothiazide / verapamil,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1008205,hydrochlorothiazide / magnesium chloride / methotrimeprazine,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1008659,hydrochlorothiazide / mepindolol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1008801,amlodipine / hydrochlorothiazide / olmesartan,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1009139,hydralazine / hydrochlorothiazide / metoprolol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1050797,aliskiren / amlodipine / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,153154,amiloride / atenolol / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214212,amiloride / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214287,benazepril / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214317,bisoprolol / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214357,captopril / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214471,deserpidine / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214536,enalapril / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214615,hydralazine / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214616,hydralazine / hydrochlorothiazide / reserpine,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214617,hydrochlorothiazide / irbesartan,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214618,hydrochlorothiazide / lisinopril,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214619,hydrochlorothiazide / losartan,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214620,hydrochlorothiazide / methyldopa,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214621,hydrochlorothiazide / metoprolol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214622,hydrochlorothiazide / moexipril,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214623,hydrochlorothiazide / propranolol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214624,hydrochlorothiazide / reserpine,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214625,hydrochlorothiazide / timolol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,214626,hydrochlorothiazide / valsartan,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,258337,hydrochlorothiazide / triamterene,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,261415,fosinopril / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,261417,hydrochlorothiazide / quinapril,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,284628,candesartan / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,284636,hydrochlorothiazide / telmisartan,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,287585,guanethidine / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,324042,hydrochlorothiazide / spironolactone,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,352375,eprosartan / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,392564,acebutolol / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,689716,hydrochlorothiazide / labetalol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,802519,aliskiren / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,812468,dihydralazine / hydrochlorothiazide / reserpine,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,812786,amiloride / hydrochlorothiazide / timolol,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,813131,hydrochlorothiazide / potassium chloride,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,817496,hydrochlorothiazide / olmesartan,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,817588,cilazapril / hydrochlorothiazide,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,818284,hydrochlorothiazide / ramipril,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,819068,amiloride / hydrochlorothiazide / methyldopa,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,852897,amlodipine / hydrochlorothiazide / valsartan,MIN
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1000000,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1011712,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1011715,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1011752,aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1011755,aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,208112,hydrochlorothiazide 25 MG / spironolactone 25 MG Oral Tablet [Aldactazide],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,208116,hydrochlorothiazide 50 MG / spironolactone 50 MG Oral Tablet [Aldactazide],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,208124,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Capsule [Dyazide],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,749833,hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Micardis-HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,749837,hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,749841,hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,805855,candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet [Atacand HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,805859,candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,805863,candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,809014,hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [Diovan HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,809018,hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Diovan HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,809022,hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Diovan HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,809026,hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet [Diovan HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,809030,hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Diovan HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,809854,hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet [Accuretic],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,809858,hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet [Accuretic],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,823934,hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Avalide],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,823938,hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [Avalide],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,823942,hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet [Avalide],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,823971,hydrochlorothiazide 25 MG / lisinopril 20 MG Oral Tablet [Zestoretic],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,823982,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet [Zestoretic],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,823986,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet [Zestoretic],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,847042,hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,847055,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,847060,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet [Benicar HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,848134,amlodipine 10 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,848139,amlodipine 10 MG / hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Exforge HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,848144,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,848149,amlodipine 5 MG / hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,848155,amlodipine 10 MG / hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,854910,bisoprolol fumarate 10 MG / hydrochlorothiazide 6.25 MG Oral Tablet [Ziac],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,854918,bisoprolol fumarate 2.5 MG / hydrochlorothiazide 6.25 MG Oral Tablet [Ziac],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,854921,bisoprolol fumarate 5 MG / hydrochlorothiazide 6.25 MG Oral Tablet [Ziac],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,858830,enalapril maleate 10 MG / hydrochlorothiazide 25 MG Oral Tablet [Vaseretic],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,866455,24 HR hydrochlorothiazide 12.5 MG / metoprolol succinate 100 MG Extended Release Oral Tablet [Dutoprol],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,866464,24 HR hydrochlorothiazide 12.5 MG / metoprolol succinate 25 MG Extended Release Oral Tablet [Dutoprol],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,866475,24 HR hydrochlorothiazide 12.5 MG / metoprolol succinate 50 MG Extended Release Oral Tablet [Dutoprol],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,866498,hydrochlorothiazide 25 MG / metoprolol tartrate 100 MG Oral Tablet [Lopressor HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,866502,hydrochlorothiazide 25 MG / metoprolol tartrate 50 MG Oral Tablet [Lopressor HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,866506,hydrochlorothiazide 50 MG / metoprolol tartrate 100 MG Oral Tablet [Lopressor HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,882559,hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet [Accuretic],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,898366,benazepril hydrochloride 10 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,898371,benazepril hydrochloride 20 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,898376,benazepril hydrochloride 20 MG / hydrochlorothiazide 25 MG Oral Tablet [Lotensin HCT],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,93252,hydrochlorothiazide 50 MG / triamterene 75 MG Oral Tablet [Maxzide],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,93253,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet [Maxzide],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,979466,hydrochlorothiazide 12.5 MG / losartan potassium 100 MG Oral Tablet [Hyzaar],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,979470,hydrochlorothiazide 12.5 MG / losartan potassium 50 MG Oral Tablet [Hyzaar],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,979473,hydrochlorothiazide 25 MG / losartan potassium 100 MG Oral Tablet [Hyzaar],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,999971,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet [Tribenzor],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,999990,amlodipine 10 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,999995,amlodipine 10 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1000003,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG [Tribenzor],SBDC
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1011711,aliskiren 150 MG / hydrochlorothiazide 12.5 MG [Tekturna HCT],SBDC
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1011714,aliskiren 150 MG / hydrochlorothiazide 25 MG [Tekturna HCT],SBDC
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1011751,aliskiren 300 MG / hydrochlorothiazide 12.5 MG [Tekturna HCT],SBDC
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1011754,aliskiren 300 MG / hydrochlorothiazide 25 MG [Tekturna HCT],SBDC
antihypertensive,Thiazide diuretics,hydrochlorothiazide ,1370476,hydrochlorothiazide 12.5 MG / metoprolol succinate 50 MG [Dutoprol],SBDC
