"rxcui","in","str","unit"
"997006","lovastatin","20","MG"
"997007","lovastatin","40","MG"
"541845","lovastatin","20","MG"
"542190","lovastatin","40","MG"
"542195","lovastatin","60","MG"
"197903","lovastatin","10","MG"
"197904","lovastatin","20","MG"
"197905","lovastatin","40","MG"
"359731","lovastatin","40","MG"
"359732","lovastatin","60","MG"
"433849","lovastatin","20","MG"
"582041","lovastatin","20","MG"
"582041","niacin","1000","MG"
"582042","lovastatin","20","MG"
"582042","niacin","500","MG"
"582043","lovastatin","20","MG"
"582043","niacin","750","MG"
"729605","lovastatin","40","MG"
"729605","niacin","1000","MG"
"316174","lovastatin","10","MG"
"316175","lovastatin","20","MG"
"316176","lovastatin","40","MG"
"353377","lovastatin","60","MG"
"904469","pravastatin","20","MG"
"904477","pravastatin","40","MG"
"904468","pravastatin","20","MG"
"904476","pravastatin","40","MG"
"904458","pravastatin","10","MG"
"904467","pravastatin","20","MG"
"904475","pravastatin","40","MG"
"904481","pravastatin","80","MG"
"904457","pravastatin","10","MG"
"904466","pravastatin","20","MG"
"904474","pravastatin","40","MG"
"904480","pravastatin","80","MG"
"2167563","rosuvastatin","10","MG"
"2167567","rosuvastatin","20","MG"
"2167571","rosuvastatin","40","MG"
"2167575","rosuvastatin","5","MG"
"2536060","rosuvastatin","10","MG"
"2536060","ezetimibe","10","MG"
"2536062","rosuvastatin","20","MG"
"2536062","ezetimibe","10","MG"
"2536064","rosuvastatin","40","MG"
"2536064","ezetimibe","10","MG"
"2536066","rosuvastatin","5","MG"
"2536066","ezetimibe","10","MG"
"859421","rosuvastatin","40","MG"
"859426","rosuvastatin","5","MG"
"859749","rosuvastatin","10","MG"
"859753","rosuvastatin","20","MG"
"2167559","rosuvastatin","10","MG"
"2167566","rosuvastatin","20","MG"
"2167570","rosuvastatin","40","MG"
"2167574","rosuvastatin","5","MG"
"2536056","rosuvastatin","10","MG"
"2536056","ezetimibe","10","MG"
"2536061","rosuvastatin","20","MG"
"2536061","ezetimibe","10","MG"
"2536063","rosuvastatin","40","MG"
"2536063","ezetimibe","10","MG"
"2536065","rosuvastatin","5","MG"
"2536065","ezetimibe","10","MG"
"859420","rosuvastatin","40","MG"
"859425","rosuvastatin","5","MG"
"859748","rosuvastatin","10","MG"
"859752","rosuvastatin","20","MG"
"2167557","rosuvastatin","10","MG"
"2167565","rosuvastatin","20","MG"
"2167569","rosuvastatin","40","MG"
"2167573","rosuvastatin","5","MG"
"2535745","rosuvastatin","20","MG"
"2535745","ezetimibe","10","MG"
"2535747","rosuvastatin","5","MG"
"2535747","ezetimibe","10","MG"
"2535749","rosuvastatin","40","MG"
"2535749","ezetimibe","10","MG"
"2535750","rosuvastatin","10","MG"
"2535750","ezetimibe","10","MG"
"859419","rosuvastatin","40","MG"
"859424","rosuvastatin","5","MG"
"859747","rosuvastatin","10","MG"
"859751","rosuvastatin","20","MG"
"2167555","rosuvastatin","10","MG"
"2167564","rosuvastatin","20","MG"
"2167568","rosuvastatin","40","MG"
"2167572","rosuvastatin","5","MG"
"859418","rosuvastatin","40","MG"
"859423","rosuvastatin","5","MG"
"859746","rosuvastatin","10","MG"
"859750","rosuvastatin","20","MG"
"2001264","pitavastatin","2","MG"
"2001268","pitavastatin","4","MG"
"2689119","pitavastatin","1","MG"
"2689123","pitavastatin","2","MG"
"2689127","pitavastatin","4","MG"
"861646","pitavastatin","1","MG"
"861650","pitavastatin","2","MG"
"861654","pitavastatin","4","MG"
"2001263","pitavastatin","2","MG"
"2001267","pitavastatin","4","MG"
"2001324","pitavastatin","1","MG"
"2001333","pitavastatin","2","MG"
"2001338","pitavastatin","4","MG"
"2689114","pitavastatin","1","MG"
"2689122","pitavastatin","2","MG"
"2689126","pitavastatin","4","MG"
"2001262","pitavastatin","2","MG"
"2001266","pitavastatin","4","MG"
"2689112","pitavastatin","1","MG"
"2689121","pitavastatin","2","MG"
"2689125","pitavastatin","4","MG"
"861643","pitavastatin","1","MG"
"861648","pitavastatin","2","MG"
"861652","pitavastatin","4","MG"
"2001261","pitavastatin","2","MG"
"2001265","pitavastatin","4","MG"
"2001322","pitavastatin","1","MG"
"2001331","pitavastatin","2","MG"
"2001336","pitavastatin","4","MG"
"2689108","pitavastatin","1","MG"
"2689120","pitavastatin","2","MG"
"2689124","pitavastatin","4","MG"
"104490","simvastatin","10","MG"
"104491","simvastatin","20","MG"
"1245420","ezetimibe","10","MG"
"1245420","simvastatin","10","MG"
"1245430","ezetimibe","10","MG"
"1245430","simvastatin","20","MG"
"1245441","ezetimibe","10","MG"
"1245441","simvastatin","40","MG"
"1245449","ezetimibe","10","MG"
"1245449","simvastatin","80","MG"
"152923","simvastatin","40","MG"
"1944262","simvastatin","4","MG"
"1944266","simvastatin","8","MG"
"208220","simvastatin","5","MG"
"213319","simvastatin","80","MG"
"1245416","ezetimibe","10","MG"
"1245416","simvastatin","10","MG"
"1245426","ezetimibe","10","MG"
"1245426","simvastatin","20","MG"
"1245437","ezetimibe","10","MG"
"1245437","simvastatin","40","MG"
"1245445","ezetimibe","10","MG"
"1245445","simvastatin","80","MG"
"1944258","simvastatin","4","MG"
"1944265","simvastatin","8","MG"
"563653","simvastatin","10","MG"
"563654","simvastatin","20","MG"
"565109","simvastatin","40","MG"
"568935","simvastatin","5","MG"
"573220","simvastatin","80","MG"
"1790679","simvastatin","4","MG"
"1944264","simvastatin","8","MG"
"198211","simvastatin","40","MG"
"200345","simvastatin","80","MG"
"312961","simvastatin","20","MG"
"312962","simvastatin","5","MG"
"314231","simvastatin","10","MG"
"476345","ezetimibe","10","MG"
"476345","simvastatin","10","MG"
"476349","ezetimibe","10","MG"
"476349","simvastatin","20","MG"
"476350","ezetimibe","10","MG"
"476350","simvastatin","40","MG"
"476351","ezetimibe","10","MG"
"476351","simvastatin","80","MG"
"757702","simvastatin","10","MG"
"757703","simvastatin","20","MG"
"757704","simvastatin","40","MG"
"757705","simvastatin","80","MG"
"761907","simvastatin","20","MG"
"761907","niacin","1000","MG"
"761909","simvastatin","20","MG"
"761909","niacin","500","MG"
"762970","simvastatin","20","MG"
"762970","niacin","750","MG"
"1790676","simvastatin","4","MG"
"1944263","simvastatin","8","MG"
"316672","simvastatin","10","MG"
"316673","simvastatin","20","MG"
"316674","simvastatin","40","MG"
"316675","simvastatin","80","MG"
"317497","simvastatin","5","MG"
"1048447","colestipol","1000","MG"
"1048452","colestipol","5000","MG"
"1048446","colestipol","1000","MG"
"1048451","colestipol","5000","MG"
"1048445","colestipol","1000","MG"
"1048450","colestipol","5000","MG"
"1048444","colestipol","1000","MG"
"1048449","colestipol","5000","MG"
"1801280","cholestyramine resin","4000","MG"
"848949","cholestyramine resin","4000","MG"
"848951","cholestyramine resin","4000","MG"
"1801268","cholestyramine resin","4000","MG"
"1801272","cholestyramine resin","4000","MG"
"1801279","cholestyramine resin","4000","MG"
"848943","cholestyramine resin","4000","MG"
"317329","cholestyramine resin","4000","MG"
"866907","colesevelam","3750","MG"
"866912","colesevelam","625","MG"
"1870340","colesevelam","3750","MG"
"866911","colesevelam","625","MG"
"866900","colesevelam","1875","MG"
"866905","colesevelam","3750","MG"
"866910","colesevelam","625","MG"
"1870336","colesevelam","3750","MG"
"1870344","colesevelam","1875","MG"
"866909","colesevelam","625","MG"
"1442165","fenofibrate","30","MG"
"1442170","fenofibrate","90","MG"
"540281","fenofibrate","145","MG"
"544518","fenofibrate","48","MG"
"578797","fenofibrate","130","MG"
"578799","fenofibrate","43","MG"
"702055","fenofibrate","150","MG"
"702169","fenofibrate","50","MG"
"763250","fenofibrate","120","MG"
"763252","fenofibrate","40","MG"
"828377","fenofibrate","135","MG"
"828381","fenofibrate","45","MG"
"860884","fenofibrate","105","MG"
"860888","fenofibrate","35","MG"
"1442164","fenofibrate","30","MG"
"1442169","fenofibrate","90","MG"
"540280","fenofibrate","145","MG"
"544517","fenofibrate","48","MG"
"578795","fenofibrate","130","MG"
"578798","fenofibrate","43","MG"
"702054","fenofibrate","150","MG"
"702168","fenofibrate","50","MG"
"763248","fenofibrate","120","MG"
"763251","fenofibrate","40","MG"
"828375","fenofibrate","135","MG"
"828380","fenofibrate","45","MG"
"860882","fenofibrate","105","MG"
"860887","fenofibrate","35","MG"
"141916","fenofibrate","100","MG"
"1442163","fenofibrate","30","MG"
"1442168","fenofibrate","90","MG"
"200311","fenofibrate","67","MG"
"310288","fenofibrate","134","MG"
"310289","fenofibrate","200","MG"
"349287","fenofibrate","160","MG"
"351133","fenofibrate","54","MG"
"389191","fenofibrate","267","MG"
"477560","fenofibrate","145","MG"
"477562","fenofibrate","48","MG"
"483425","fenofibrate","130","MG"
"483427","fenofibrate","43","MG"
"483429","fenofibrate","87","MG"
"577031","fenofibrate","50","MG"
"616852","fenofibrate","150","MG"
"616853","fenofibrate","50","MG"
"749802","fenofibrate","120","MG"
"749804","fenofibrate","40","MG"
"828373","fenofibrate","135","MG"
"828379","fenofibrate","45","MG"
"860880","fenofibrate","105","MG"
"860886","fenofibrate","35","MG"
"1442162","fenofibrate","30","MG"
"1442167","fenofibrate","90","MG"
"334738","fenofibrate","100","MG"
"379814","fenofibrate","200","MG"
"379816","fenofibrate","67","MG"
"379821","fenofibrate","134","MG"
"379822","fenofibrate","160","MG"
"379823","fenofibrate","54","MG"
"393452","fenofibrate","267","MG"
"477561","fenofibrate","145","MG"
"477563","fenofibrate","48","MG"
"483424","fenofibrate","130","MG"
"483426","fenofibrate","43","MG"
"483428","fenofibrate","87","MG"
"577030","fenofibrate","50","MG"
"616851","fenofibrate","150","MG"
"749801","fenofibrate","120","MG"
"749803","fenofibrate","40","MG"
"828372","fenofibrate","135","MG"
"828378","fenofibrate","45","MG"
"860879","fenofibrate","105","MG"
"860885","fenofibrate","35","MG"
"205751","gemfibrozil","600","MG"
"566639","gemfibrozil","600","MG"
"310459","gemfibrozil","600","MG"
"315106","gemfibrozil","300","MG"
"315976","gemfibrozil","300","MG"
"317636","gemfibrozil","600","MG"
"199700","bezafibrate","200","MG"
"433853","bezafibrate","400","MG"
"332624","bezafibrate","400","MG"
"333615","bezafibrate","200","MG"
"1659161","alirocumab","150","MG"
"1659167","alirocumab","150","MG"
"1659179","alirocumab","75","MG"
"1659183","alirocumab","75","MG"
"1659158","alirocumab","150","MG"
"1659178","alirocumab","75","MG"
"1659156","alirocumab","150","MG"
"1659165","alirocumab","150","MG"
"1659177","alirocumab","75","MG"
"1659182","alirocumab","75","MG"
"1659153","alirocumab","150","MG"
"1659176","alirocumab","75","MG"
"2478650","evinacumab","150","MG"
"2478732","evinacumab","150","MG"
"2478649","evinacumab","150","MG"
"2478648","evinacumab","150","MG"
"2478731","evinacumab","150","MG"
"2478647","evinacumab","150","MG"
"1665900","evolocumab","140","MG"
"1665906","evolocumab","140","MG"
"1801322","evolocumab","120","MG"
"1665897","evolocumab","140","MG"
"1801320","evolocumab","120","MG"
"1665895","evolocumab","140","MG"
"1665904","evolocumab","140","MG"
"1801319","evolocumab","120","MG"
"1665892","evolocumab","140","MG"
"1801317","evolocumab","120","MG"
